City Name,CBG Code,Year,Median Household Income,Population Above Poverty,Population Below Poverty,Population With A Ratio Of Income To Poverty Level Below 0.5,Population With A Ratio Of Income To Poverty Level Between 0.5 And 0.99
Phoenix city,40130820021,2021,51594,2272,820,269,551
Phoenix city,40130820023,2021,82939,1486,111,47,64
Phoenix city,40130820071,2021,39952,1161,645,99,546
Phoenix city,40130820072,2021,58953,1801,435,105,330
Phoenix city,40130820081,2021,40959,1114,22,22,0
Phoenix city,40130820082,2021,71233,2510,375,63,312
Phoenix city,40130820083,2021,70052,1234,313,122,191
Phoenix city,40130820091,2021,47639,1738,411,184,227
Phoenix city,40130820092,2021,76595,3056,94,62,32
Phoenix city,40130820101,2021,62132,1618,468,143,325
Phoenix city,40130820102,2021,73832,3062,138,60,78
Phoenix city,40130820121,2021,72917,1596,165,73,92
Phoenix city,40130820122,2021,66956,2681,581,12,569
Phoenix city,40130820171,2021,58147,992,604,398,206
Phoenix city,40130820181,2021,63186,2160,606,38,568
Phoenix city,40130820182,2021,77150,2453,183,119,64
Phoenix city,40130820281,2021,38777,1150,346,124,222
Phoenix city,40130820282,2021,72865,2416,436,161,275
Phoenix city,40130822041,2021,86524,3487,530,236,294
Phoenix city,40130822042,2021,67692,627,108,48,60
Phoenix city,40130822051,2021,101429,2996,95,87,8
Phoenix city,40130822052,2021,79830,1226,179,43,136
Phoenix city,40130822061,2021,97548,661,42,0,42
Phoenix city,40130822071,2021,61136,932,368,218,150
Phoenix city,40130822072,2021,84375,2019,192,123,69
Phoenix city,40130927191,2021,54617,2376,255,101,154
Phoenix city,40130927192,2021,76434,2153,47,47,0
Phoenix city,40130927203,2021,66765,1649,354,45,309
Phoenix city,40130927203,2021,66765,1649,354,45,309
Phoenix city,40131032051,2021,127813,965,52,51,1
Phoenix city,40131032052,2021,81563,1387,94,52,42
Phoenix city,40131032061,2021,138864,973,41,18,23
Phoenix city,40131032062,2021,117109,1322,60,42,18
Phoenix city,40131032071,2021,149063,1034,20,0,20
Phoenix city,40131032072,2021,120500,1019,42,22,20
Phoenix city,40131032081,2021,91875,876,89,75,14
Phoenix city,40131032082,2021,55179,1304,203,22,181
Phoenix city,40131032083,2021,74177,905,10,0,10
Phoenix city,40131032091,2021,192619,643,14,14,0
Phoenix city,40131032092,2021,44500,486,50,0,50
Phoenix city,40131032093,2021,134797,1902,65,57,8
Phoenix city,40131032094,2021,64993,1640,112,90,22
Phoenix city,40131032102,2021,73969,1951,184,75,109
Phoenix city,40131032103,2021,85547,1053,128,0,128
Phoenix city,40131032104,2021,54333,837,116,52,64
Phoenix city,40131032105,2021,39897,1680,430,341,89
Phoenix city,40131032111,2021,111194,1126,114,30,84
Phoenix city,40131032112,2021,121833,1884,48,17,31
Phoenix city,40131032113,2021,82833,1562,21,11,10
Phoenix city,40131032121,2021,113065,1175,56,26,30
Phoenix city,40131032122,2021,102353,1277,161,9,152
Phoenix city,40131032123,2021,95000,1542,20,12,8
Phoenix city,40131032141,2021,132813,974,8,0,8
Phoenix city,40131032142,2021,131042,1905,62,5,57
Phoenix city,40131032143,2021,90223,886,90,81,9
Phoenix city,40131032151,2021,136806,1090,53,36,17
Phoenix city,40131032152,2021,119934,1452,272,9,263
Phoenix city,40131032161,2021,121429,884,16,0,16
Phoenix city,40131032162,2021,82833,998,95,62,33
Phoenix city,40131032164,2021,46510,1603,81,40,41
Phoenix city,40131032171,2021,144144,813,20,5,15
Phoenix city,40131032172,2021,95089,1172,143,0,143
Phoenix city,40131032173,2021,65398,1181,238,175,63
Phoenix city,40131032174,2021,75592,2021,81,65,16
Phoenix city,40131032191,2021,98036,1489,41,17,24
Phoenix city,40131032192,2021,95750,818,42,9,33
Phoenix city,40131032193,2021,80208,808,36,23,13
Phoenix city,40131032201,2021,120833,737,10,7,3
Phoenix city,40131032203,2021,79570,886,55,55,0
Phoenix city,40131033021,2021,90433,1905,90,30,60
Phoenix city,40131033022,2021,85511,1716,152,15,137
Phoenix city,40131033023,2021,43682,289,56,0,56
Phoenix city,40131033024,2021,59058,1485,0,0,0
Phoenix city,40131033031,2021,100417,1742,44,38,6
Phoenix city,40131033032,2021,54681,1090,36,19,17
Phoenix city,40131033033,2021,79637,600,113,105,8
Phoenix city,40131033041,2021,38600,1247,446,180,266
Phoenix city,40131033042,2021,36850,767,204,124,80
Phoenix city,40131033043,2021,57625,1016,461,191,270
Phoenix city,40131033051,2021,42784,982,300,243,57
Phoenix city,40131033052,2021,41113,1571,741,211,530
Phoenix city,40131033061,2021,33519,882,658,492,166
Phoenix city,40131033062,2021,40625,2120,902,597,305
Phoenix city,40131034001,2021,62846,1001,94,71,23
Phoenix city,40131034002,2021,68894,1532,39,12,27
Phoenix city,40131034003,2021,80583,671,48,13,35
Phoenix city,40131035011,2021,66758,1046,181,181,0
Phoenix city,40131035012,2021,64295,789,77,77,0
Phoenix city,40131035013,2021,110184,710,104,71,33
Phoenix city,40131035022,2021,99932,1112,37,6,31
Phoenix city,40131035023,2021,82404,1122,40,40,0
Phoenix city,40131035024,2021,46484,1068,184,184,0
Phoenix city,40131035025,2021,53750,864,0,0,0
Phoenix city,40131036041,2021,44510,1145,485,141,344
Phoenix city,40131036042,2021,121467,1102,115,31,84
Phoenix city,40131036043,2021,53486,1606,52,52,0
Phoenix city,40131036051,2021,105250,1130,110,46,64
Phoenix city,40131036052,2021,126048,1937,36,29,7
Phoenix city,40131036053,2021,87121,1038,59,11,48
Phoenix city,40131036054,2021,210047,1484,9,5,4
Phoenix city,40131036061,2021,52857,837,201,125,76
Phoenix city,40131036062,2021,83056,2006,56,45,11
Phoenix city,40131036063,2021,87328,1604,173,32,141
Phoenix city,40131036071,2021,67163,1040,31,24,7
Phoenix city,40131036072,2021,110933,1162,303,296,7
Phoenix city,40131036073,2021,166354,767,17,17,0
Phoenix city,40131036074,2021,89844,764,36,30,6
Phoenix city,40131036081,2021,92188,2048,78,40,38
Phoenix city,40131036082,2021,54659,1826,119,12,107
Phoenix city,40131036091,2021,68317,888,867,770,97
Phoenix city,40131036092,2021,55536,1083,65,17,48
Phoenix city,40131036093,2021,31192,1311,0,0,0
Phoenix city,40131036094,2021,40859,1182,214,117,97
Phoenix city,40131036111,2021,93668,1300,202,165,37
Phoenix city,40131036112,2021,138984,1135,32,1,31
Phoenix city,40131036113,2021,104856,2257,12,12,0
Phoenix city,40131036122,2021,79496,951,17,0,17
Phoenix city,40131036123,2021,130625,1482,107,35,72
Phoenix city,40131036124,2021,38428,1603,13,13,0
Phoenix city,40131036141,2021,63491,1359,236,169,67
Phoenix city,40131036142,2021,109886,1116,25,25,0
Phoenix city,40131036151,2021,70116,831,223,205,18
Phoenix city,40131036152,2021,39911,1345,592,463,129
Phoenix city,40131036153,2021,25931,1276,966,657,309
Phoenix city,40131037012,2021,65250,1588,345,294,51
Phoenix city,40131037013,2021,49792,878,428,57,371
Phoenix city,40131037021,2021,67955,652,80,38,42
Phoenix city,40131037022,2021,94453,1372,53,43,10
Phoenix city,40131037023,2021,71705,1259,64,55,9
Phoenix city,40131039001,2021,121635,996,305,20,285
Phoenix city,40131039002,2021,50400,1080,83,83,0
Phoenix city,40131039003,2021,78438,1231,320,42,278
Phoenix city,40131039004,2021,47602,1751,408,327,81
Phoenix city,40131040001,2021,31759,1179,486,458,28
Phoenix city,40131040002,2021,100556,894,230,131,99
Phoenix city,40131040003,2021,46667,1372,482,22,460
Phoenix city,40131040004,2021,34730,2233,625,373,252
Phoenix city,40131041001,2021,40018,1557,778,474,304
Phoenix city,40131041002,2021,80156,1217,418,202,216
Phoenix city,40131041003,2021,86057,1755,305,272,33
Phoenix city,40131041004,2021,44205,1151,244,0,244
Phoenix city,40131042021,2021,66300,1346,230,173,57
Phoenix city,40131042022,2021,70833,1619,237,129,108
Phoenix city,40131042023,2021,91389,1129,47,24,23
Phoenix city,40131042031,2021,73292,1222,15,11,4
Phoenix city,40131042032,2021,104441,1837,139,0,139
Phoenix city,40131042033,2021,75372,891,113,0,113
Phoenix city,40131042034,2021,74412,1197,35,11,24
Phoenix city,40131042035,2021,96607,1886,275,38,237
Phoenix city,40131042041,2021,65539,1433,162,75,87
Phoenix city,40131042042,2021,67344,1389,219,85,134
Phoenix city,40131042051,2021,96849,1063,72,62,10
Phoenix city,40131042052,2021,31719,1315,473,109,364
Phoenix city,40131042053,2021,46170,1362,15,6,9
Phoenix city,40131042054,2021,26875,997,964,249,715
Phoenix city,40131042061,2021,64375,735,208,127,81
Phoenix city,40131042062,2021,55882,1131,480,158,322
Phoenix city,40131042063,2021,64118,1036,39,30,9
Phoenix city,40131042071,2021,82011,1599,67,28,39
Phoenix city,40131042072,2021,88307,1674,9,5,4
Phoenix city,40131042073,2021,30217,946,209,107,102
Phoenix city,40131042121,2021,42083,443,32,32,0
Phoenix city,40131042122,2021,72875,1854,349,0,349
Phoenix city,40131042123,2021,62316,1108,270,61,209
Phoenix city,40131042124,2021,86438,2149,75,26,49
Phoenix city,40131042181,2021,79911,826,182,51,131
Phoenix city,40131042182,2021,98523,969,67,58,9
Phoenix city,40131042183,2021,45795,1435,183,104,79
Phoenix city,40131042191,2021,60347,1659,76,26,50
Phoenix city,40131042192,2021,74821,1231,305,116,189
Phoenix city,40131042251,2021,69792,1628,157,53,104
Phoenix city,40131042252,2021,115116,1027,49,10,39
Phoenix city,40131042253,2021,63906,534,148,32,116
Phoenix city,40131042261,2021,33828,674,257,145,112
Phoenix city,40131042262,2021,93056,1271,26,26,0
Phoenix city,40131042263,2021,55367,445,77,68,9
Phoenix city,40131042264,2021,106786,1076,106,96,10
Phoenix city,40131043011,2021,57059,2054,151,138,13
Phoenix city,40131043012,2021,61979,1193,334,246,88
Phoenix city,40131043021,2021,36931,1299,446,372,74
Phoenix city,40131043022,2021,50440,1800,308,205,103
Phoenix city,40131044011,2021,55278,2062,423,36,387
Phoenix city,40131044012,2021,33720,890,126,24,102
Phoenix city,40131044013,2021,24738,855,377,302,75
Phoenix city,40131044021,2021,27500,393,66,7,59
Phoenix city,40131045011,2021,51071,927,163,35,128
Phoenix city,40131045012,2021,40111,863,393,200,193
Phoenix city,40131045013,2021,31875,873,583,187,396
Phoenix city,40131045021,2021,56386,1429,503,161,342
Phoenix city,40131045022,2021,47319,1494,347,215,132
Phoenix city,40131045023,2021,39118,970,579,310,269
Phoenix city,40131046001,2021,55938,1561,265,137,128
Phoenix city,40131046002,2021,45929,858,214,114,100
Phoenix city,40131046003,2021,74091,618,76,66,10
Phoenix city,40131047011,2021,41657,1279,337,155,182
Phoenix city,40131047012,2021,60781,623,110,110,0
Phoenix city,40131047013,2021,54135,473,109,65,44
Phoenix city,40131047021,2021,43447,625,253,9,244
Phoenix city,40131047022,2021,29727,573,499,156,343
Phoenix city,40131047023,2021,39942,1056,231,86,145
Phoenix city,40131047024,2021,26529,409,46,0,46
Phoenix city,40131048011,2021,114792,2361,42,2,40
Phoenix city,40131048012,2021,68368,1371,201,32,169
Phoenix city,40131048021,2021,105823,1101,15,15,0
Phoenix city,40131048022,2021,29410,947,247,1,246
Phoenix city,40131048023,2021,141500,1642,0,0,0
Phoenix city,40131048024,2021,72167,680,220,220,0
Phoenix city,40131048025,2021,62007,414,36,36,0
Phoenix city,40131049001,2021,107083,1048,107,0,107
Phoenix city,40131049002,2021,90000,931,133,21,112
Phoenix city,40131049003,2021,83294,520,32,25,7
Phoenix city,40131051011,2021,161429,783,30,30,0
Phoenix city,40131051012,2021,169615,1837,101,59,42
Phoenix city,40131051013,2021,126042,1439,39,11,28
Phoenix city,40131051021,2021,133897,465,71,25,46
Phoenix city,40131051022,2021,178534,1470,56,0,56
Phoenix city,40131051023,2021,87177,1157,14,14,0
Phoenix city,40131051024,2021,71500,948,88,80,8
Phoenix city,40131052002,2021,74375,1579,337,110,227
Phoenix city,40131052003,2021,58143,1284,0,0,0
Phoenix city,40131052004,2021,78361,2004,334,106,228
Phoenix city,40131053001,2021,87500,1213,83,52,31
Phoenix city,40131053002,2021,50116,2019,328,58,270
Phoenix city,40131053003,2021,98173,1266,41,41,0
Phoenix city,40131054001,2021,192500,1259,0,0,0
Phoenix city,40131054002,2021,106845,1361,111,101,10
Phoenix city,40131054003,2021,59762,1092,181,2,179
Phoenix city,40131055011,2021,58000,997,389,285,104
Phoenix city,40131055012,2021,43438,769,183,61,122
Phoenix city,40131055021,2021,43529,652,235,64,171
Phoenix city,40131055022,2021,39803,683,324,205,119
Phoenix city,40131055031,2021,48375,614,71,52,19
Phoenix city,40131055032,2021,40399,2422,1060,740,320
Phoenix city,40131056011,2021,78750,2176,269,17,252
Phoenix city,40131056012,2021,38018,1208,636,286,350
Phoenix city,40131056021,2021,50188,942,366,13,353
Phoenix city,40131056022,2021,38224,1438,1060,261,799
Phoenix city,40131056023,2021,44107,1817,239,47,192
Phoenix city,40131057011,2021,58807,1336,24,24,0
Phoenix city,40131057012,2021,58814,1692,552,69,483
Phoenix city,40131057021,2021,73750,2582,179,133,46
Phoenix city,40131057022,2021,60058,1293,241,91,150
Phoenix city,40131058001,2021,106779,1638,161,70,91
Phoenix city,40131058003,2021,63206,1541,78,23,55
Phoenix city,40131058004,2021,72778,1247,382,56,326
Phoenix city,40131059001,2021,54424,2024,72,8,64
Phoenix city,40131059002,2021,44880,1037,278,209,69
Phoenix city,40131059003,2021,36299,1144,492,289,203
Phoenix city,40131060011,2021,41125,1310,556,312,244
Phoenix city,40131060021,2021,40900,1190,225,151,74
Phoenix city,40131060022,2021,42305,731,145,104,41
Phoenix city,40131060031,2021,59082,1959,217,23,194
Phoenix city,40131060032,2021,45147,1401,263,58,205
Phoenix city,40131061001,2021,133859,1392,0,0,0
Phoenix city,40131061002,2021,138571,1022,90,0,90
Phoenix city,40131061003,2021,71708,935,164,44,120
Phoenix city,40131061004,2021,79167,822,58,6,52
Phoenix city,40131061005,2021,32434,868,56,18,38
