y_tile,x_tile
97289,67227
97289,67228
97289,67229
97289,67230
97289,67231
97289,67232
97289,67233
97289,67234
97289,67235
97289,67236
97290,67227
97290,67228
97290,67229
97290,67230
97290,67231
97290,67232
97290,67233
97290,67234
97290,67235
97290,67236
97291,67228
97291,67229
97291,67230
97291,67231
97291,67232
97291,67233
97291,67234
97291,67235
97291,67236
97291,67237
97292,67229
97292,67230
97292,67231
97292,67232
97292,67233
97292,67234
97292,67235
97292,67236
97292,67237
97293,67124
97293,67125
97293,67126
97293,67127
97293,67128
97293,67129
97293,67130
97293,67131
97293,67132
97293,67133
97293,67204
97293,67205
97293,67206
97293,67207
97293,67208
97293,67209
97293,67210
97293,67211
97293,67212
97293,67213
97293,67214
97293,67215
97293,67216
97293,67217
97293,67218
97293,67219
97293,67220
97293,67221
97293,67222
97293,67223
97293,67224
97293,67225
97293,67226
97293,67227
97293,67228
97293,67229
97293,67230
97293,67231
97293,67232
97293,67233
97293,67234
97293,67235
97293,67236
97293,67237
97294,67122
97294,67123
97294,67124
97294,67125
97294,67126
97294,67127
97294,67128
97294,67129
97294,67130
97294,67131
97294,67132
97294,67133
97294,67204
97294,67205
97294,67206
97294,67207
97294,67208
97294,67209
97294,67210
97294,67211
97294,67212
97294,67213
97294,67214
97294,67215
97294,67216
97294,67217
97294,67218
97294,67219
97294,67220
97294,67221
97294,67222
97294,67223
97294,67224
97294,67225
97294,67226
97294,67227
97294,67228
97294,67229
97294,67230
97294,67231
97294,67232
97294,67233
97294,67234
97294,67235
97294,67236
97294,67237
97295,67122
97295,67123
97295,67124
97295,67125
97295,67126
97295,67127
97295,67128
97295,67129
97295,67130
97295,67131
97295,67132
97295,67133
97295,67204
97295,67205
97295,67206
97295,67207
97295,67208
97295,67209
97295,67210
97295,67211
97295,67212
97295,67213
97295,67214
97295,67215
97295,67216
97295,67217
97295,67218
97295,67219
97295,67220
97295,67221
97295,67222
97295,67223
97295,67224
97295,67225
97295,67226
97295,67227
97295,67228
97295,67229
97295,67230
97295,67231
97295,67232
97295,67233
97295,67234
97295,67235
97295,67236
97295,67237
97296,67122
97296,67123
97296,67124
97296,67125
97296,67126
97296,67127
97296,67128
97296,67129
97296,67130
97296,67131
97296,67132
97296,67133
97296,67204
97296,67205
97296,67206
97296,67207
97296,67208
97296,67209
97296,67210
97296,67211
97296,67212
97296,67213
97296,67214
97296,67215
97296,67216
97296,67217
97296,67218
97296,67219
97296,67220
97296,67221
