y_tile,x_tile,CBG Code
97297,67153,170311201001
97297,67154,170311201001
97298,67153,170311201001
97298,67154,170311201001
97299,67153,170311201001
97299,67154,170311201001
97300,67153,170311201001
97300,67154,170311201001
97300,67239,170310104003
97301,67123,170310902004
97301,67124,170310902004
97301,67125,170310902004
97301,67152,170311201001
97301,67153,170311201001
97301,67154,170311201001
97301,67155,170311201001
97301,67156,170311201001
97301,67157,170311201001
97301,67240,170310104003
97302,67123,170310902004
97302,67124,170310902004
97302,67125,170310902004
97302,67152,170311201001
97302,67153,170311201001
97302,67154,170311201001
97302,67155,170311201001
97302,67156,170311201001
97302,67157,170311201001
97302,67241,170310104003
97303,67061,170317706022
97303,67062,170317706022
97303,67063,170317706022
97303,67122,170310902004
97303,67123,170310902004
97303,67124,170310902004
97303,67125,170310902004
97303,67241,170310104003
97304,67055,170317706022
97304,67059,170317706022
97304,67060,170317706022
97304,67061,170317706022
97304,67062,170317706022
97304,67063,170317706022
97304,67064,170317706022
97304,67065,170317706022
97304,67122,170310902004
97304,67123,170310902004
97304,67124,170310902004
97304,67125,170310902004
97304,67162,170311202001
97304,67163,170311202001
97304,67164,170311202001
97304,67165,170311202001
97304,67242,170310104003
97305,67055,170317706022
97305,67059,170317706022
97305,67060,170317706022
97305,67061,170317706022
97305,67062,170317706022
97305,67063,170317706022
97305,67064,170317706022
97305,67065,170317706022
97305,67066,170317706022
97305,67122,170310902004
97305,67123,170310902004
97305,67124,170310902004
97305,67125,170310902004
97305,67162,170311202001
97305,67163,170311202001
97305,67164,170311202001
97305,67165,170311202001
97305,67243,170310104003
97306,67122,170310902004
97306,67123,170310902004
97306,67153,170311201003
97306,67154,170311201003
97306,67162,170311202001
97306,67163,170311202001
97306,67164,170311202001
97306,67165,170311202001
97306,67242,170310104003
97306,67243,170310104003
97307,67039,170319800001
97307,67040,170319800001
97307,67041,170319800001
97307,67042,170319800001
97307,67043,170319800001
97307,67050,170319800001
97307,67051,170319800001
97307,67052,170319800001
97307,67053,170319800001
97307,67054,170319800001
97307,67151,170311201003
97307,67152,170311201003
97307,67153,170311201003
97307,67154,170311201003
97307,67155,170311201003
97307,67156,170311201003
97307,67161,170311202001
97307,67162,170311202001
97307,67163,170311202001
97307,67164,170311202001
97307,67165,170311202001
97307,67218,170310205003
97307,67219,170310205003
97307,67220,170310205003
97307,67221,170310205003
97307,67222,170310205003
97307,67223,170310205003
97307,67224,170310205003
97307,67242,170310104003
97308,67039,170319800001
97308,67040,170319800001
97308,67041,170319800001
97308,67042,170319800001
97308,67043,170319800001
97308,67044,170319800001
97308,67045,170319800001
97308,67046,170319800001
97308,67047,170319800001
97308,67048,170319800001
97308,67122,170310903001
97308,67150,170311201003
97308,67151,170311201003
97308,67152,170311201003
97308,67153,170311201003
97308,67154,170311201003
97308,67155,170311201003
97308,67156,170311201003
97308,67161,170311202001
97308,67163,170311202001
97308,67164,170311202001
97308,67218,170310205003
97308,67219,170310205003
97308,67220,170310205003
97308,67221,170310205003
97308,67222,170310205003
97308,67223,170310205003
97308,67224,170310205003
97308,67225,170310205003
97308,67239,170310104003
97308,67240,170310104003
97308,67241,170310104003
97308,67242,170310104003
97309,67122,170310903001
97309,67123,170310903001
97309,67148,170311201003
97309,67149,170311201003
97309,67150,170311201003
97309,67151,170311002001
97309,67152,170311201003
97309,67153,170311201003
97309,67218,170310205003
97309,67219,170310205003
97309,67220,170310205003
97309,67221,170310205003
97309,67222,170310205003
97309,67239,170310104003
97309,67240,170310104003
97309,67241,170310104003
97309,67242,170310104003
97310,67122,170310903001
97310,67123,170310903001
97310,67124,170310903001
97310,67125,170310903001
97310,67151,170311002001
97310,67239,170310104003
97310,67240,170310104003
97310,67241,170310104003
97311,67122,170310903001
97311,67123,170310903001
97311,67124,170310903001
97311,67125,170310903001
97311,67126,170310903001
97311,67141,170311002001
97311,67142,170311002001
97311,67143,170311002001
97311,67144,170311002001
97311,67151,170311002001
97312,67122,170310903001
97312,67123,170310903001
97312,67124,170310903001
97312,67125,170310903001
97312,67126,170310903001
97312,67127,170310903001
97312,67141,170311002001
97312,67142,170311002001
97312,67143,170311002001
97312,67144,170311002001
97312,67145,170311002001
97312,67149,170311002001
97312,67150,170311002001
97312,67151,170311002001
97312,67152,170311002001
97313,67122,170310903001
97313,67123,170310903001
97313,67141,170311002001
97313,67142,170311002001
97313,67143,170311002001
97313,67144,170311002001
97314,67076,170317707002
97315,67076,170317707002
97315,67150,170311101005
97315,67151,170311101005
97315,67152,170311101005
97315,67153,170311101005
97315,67154,170311101005
97315,67156,170311101005
97315,67157,170311101005
97315,67173,170311202004
97315,67174,170311202004
97315,67175,170311202004
97315,67196,170311301003
97315,67197,170311301003
97315,67198,170311301003
97315,67199,170311301003
97315,67200,170311301003
97315,67201,170311301003
97315,67202,170311301003
97316,67076,170317707002
97316,67078,170317707002
97316,67079,170317707002
97316,67151,170311101005
97316,67152,170311101005
97316,67153,170311101005
97316,67154,170311101005
97316,67155,170311101005
97316,67156,170311101005
97316,67157,170311101005
97316,67158,170311101005
97316,67164,170311202004
97316,67173,170311202004
97316,67174,170311202004
97316,67175,170311202004
97316,67196,170311301003
97316,67197,170311301003
97316,67198,170311301003
97316,67199,170311301003
97316,67200,170311301003
97316,67201,170311301003
97316,67202,170311301003
97317,67076,170317707002
97317,67077,170317707002
97317,67078,170317707002
97317,67079,170317707002
97317,67153,170311101005
97317,67154,170311101005
97317,67155,170311101005
97317,67156,170311101005
97317,67157,170311101005
97317,67164,170311202004
97317,67165,170311202004
97317,67172,170311202004
97317,67173,170311202004
97317,67174,170311202004
97317,67175,170311202004
97317,67196,170311301003
97317,67197,170311301003
97317,67198,170311301003
97317,67199,170311301003
97317,67200,170311301003
97317,67201,170311301003
97318,67076,170317707002
97318,67077,170317707002
97318,67078,170317707002
97318,67079,170317707002
97318,67080,170317707002
97318,67165,170311202004
97318,67166,170311202004
97318,67167,170311202004
97318,67172,170311202004
97318,67173,170311202004
97318,67174,170311202004
97318,67175,170311202004
97318,67190,170311301002
97318,67191,170311301002
97318,67192,170311301002
97318,67193,170311301002
97318,67194,170311301002
97318,67195,170311301002
97319,67036,170438400002
97319,67037,170438400002
97319,67038,170438400002
97319,67039,170438400002
97319,67040,170438400002
97319,67041,170438400002
97319,67077,170317707002
97319,67078,170317707002
97319,67079,170317707002
97319,67080,170317707002
97319,67189,170311302001
97319,67190,170311301002
97319,67191,170311301002
97319,67192,170311301002
97319,67193,170311301002
97319,67194,170311301002
97319,67195,170311301002
97320,67036,170438400002
97320,67037,170438400002
97320,67038,170438400002
97320,67039,170438400002
97320,67040,170438400002
97320,67041,170438400002
97320,67077,170317707002
97320,67078,170317707002
97320,67188,170311302001
97320,67189,170311302001
97320,67190,170311301002
97320,67191,170311301002
97320,67192,170311301002
97320,67193,170311301002
97320,67194,170311301002
97320,67195,170311301002
97321,67036,170438400002
97321,67037,170438400002
97321,67038,170438400002
97321,67039,170438400002
97321,67040,170438400002
97321,67041,170438400002
97321,67042,170438400002
97321,67188,170311302001
97321,67189,170311302001
97321,67190,170311301002
97321,67191,170311301002
97321,67224,170310401001
97321,67225,170310401001
97321,67226,170310401001
97321,67227,170310401001
97321,67228,170310401001
97322,67036,170438400002
97322,67126,170311004003
97322,67140,170311003001
97322,67163,170311101001
97322,67164,170311101001
97322,67165,170311101001
97322,67187,170311302001
97322,67188,170311302001
97322,67189,170311302001
97322,67218,170310401001
97322,67219,170310401001
97322,67220,170310401001
97322,67221,170310401001
97322,67222,170310401001
97322,67223,170310401001
97322,67224,170310401001
97322,67225,170310401001
97322,67226,170310401001
97322,67227,170310401001
97322,67228,170310401001
97323,67097,170317608011
97323,67098,170317608011
97323,67125,170311004003
97323,67126,170311004003
97323,67127,170311004003
97323,67128,170311004003
97323,67140,170311003001
97323,67141,170311003001
97323,67142,170311003001
97323,67162,170311101001
97323,67163,170311101001
97323,67164,170311101001
97323,67165,170311101001
97323,67186,170311302001
97323,67187,170311302001
97323,67188,170311302001
97323,67189,170311302001
97323,67218,170310401001
97323,67219,170310401001
97323,67220,170310401001
97323,67221,170310401001
97324,67097,170317608011
97324,67098,170317608011
97324,67099,170317608011
97324,67100,170317608011
97324,67101,170317608011
97324,67102,170317608011
97324,67103,170317608011
97324,67104,170317608011
97324,67122,170311004003
97324,67123,170311004003
97324,67124,170311004003
97324,67125,170311004003
97324,67126,170311004003
97324,67127,170311004003
97324,67128,170311004003
97324,67141,170311003001
97324,67142,170311003001
97324,67143,170311003001
97324,67161,170311101001
97324,67162,170311101001
97324,67163,170311101001
97324,67164,170311101001
97324,67165,170311101001
97324,67166,170311101001
97324,67167,170311204001
97324,67185,170311302001
97324,67186,170311302001
97324,67187,170311302001
97324,67188,170311302001
97324,67189,170311302001
97325,67097,170317608011
97325,67098,170317608011
97325,67099,170317608011
97325,67100,170317608011
97325,67101,170317608011
97325,67102,170317608011
97325,67103,170317608011
97325,67104,170317608011
97325,67105,170317608011
97325,67106,170317608011
97325,67111,170318104003
97325,67112,170318104003
97325,67113,170318104003
97325,67121,170311004003
97325,67122,170311004003
97325,67123,170311004003
97325,67124,170311004003
97325,67125,170311004003
97325,67126,170311004003
97325,67127,170311004003
97325,67128,170311004003
97325,67141,170311003001
97325,67142,170311003001
97325,67143,170311003001
97325,67144,170311003001
97325,67161,170311101001
97325,67162,170311101001
97325,67163,170311101001
97325,67164,170311101001
97325,67165,170311101001
97325,67166,170311101001
97325,67167,170311204001
97325,67168,170311204001
97325,67183,170311302001
97325,67184,170311302001
97325,67185,170311302001
97326,67111,170318104003
97326,67112,170318104003
97326,67113,170318104003
97326,67114,170318104003
97326,67115,170318104003
97326,67116,170318104003
97326,67117,170318104003
97326,67118,170318104003
97326,67133,170311003001
97326,67134,170311003001
97326,67136,170311003001
97326,67141,170311003001
97326,67142,170311003001
97326,67143,170311003001
97326,67144,170311003001
97326,67145,170311003001
97326,67146,170311003001
97326,67161,170311101001
97326,67168,170311204001
97327,67111,170318104003
97327,67112,170318104003
97327,67113,170318104003
97327,67114,170318104003
97327,67115,170318104003
97327,67116,170318104003
97327,67117,170318104003
97327,67118,170318104003
97327,67119,170318104003
97327,67168,170311204001
97328,67097,170317608021
97328,67098,170317608021
97328,67099,170317608021
97328,67100,170317608021
97328,67101,170317608021
97328,67102,170317608021
97328,67103,170317608021
97328,67168,170311204001
97328,67169,170311204001
97328,67174,170311204001
97328,67175,170311204001
97329,67097,170317608021
97329,67098,170317608021
97329,67099,170317608021
97329,67100,170317608021
97329,67101,170317608021
97329,67102,170317608021
97329,67103,170317608021
97329,67133,170311006004
97329,67134,170311006004
97329,67135,170311006004
97329,67136,170311006004
97329,67137,170311006004
97329,67138,170311006004
97329,67139,170311006004
97329,67140,170311006004
97329,67141,170311006004
97329,67142,170311006004
97329,67169,170311204001
97329,67171,170311204001
97329,67172,170311204001
97329,67173,170311204001
97329,67174,170311204001
97329,67175,170311204001
97329,67190,170318318005
97329,67191,170318318005
97329,67192,170318318005
97329,67193,170318318005
97329,67194,170318318005
97329,67195,170318318005
97329,67196,170318318005
97329,67197,170318318005
97329,67198,170318318005
97329,67199,170318318005
97329,67200,170318318005
97329,67201,170318318005
97329,67202,170318318005
97329,67203,170318318005
97329,67204,170318318005
97329,67205,170318318005
97330,67097,170317608021
97330,67098,170317608021
97330,67099,170317608021
97330,67100,170317608021
97330,67101,170317608021
97330,67102,170317608021
97330,67133,170311006004
97330,67134,170311006004
97330,67135,170311006004
97330,67136,170311006004
97330,67137,170311006004
97330,67138,170311006004
97330,67139,170311006004
97330,67140,170311006004
97330,67141,170311006004
97330,67142,170311006004
97330,67169,170311204001
97330,67170,170311204001
97330,67171,170311204001
97330,67172,170311204001
97330,67173,170311204001
97330,67190,170318318005
97330,67191,170318318005
97330,67192,170318318005
97330,67193,170318318005
97331,67116,170311005005
97332,67111,170311005005
97332,67112,170311005005
97332,67113,170311005005
97332,67114,170311005005
97332,67115,170311005005
97332,67116,170311005005
