y_tile,x_tile,CBG Code
105580,60573,480850317151
105580,60574,480850317151
105580,60575,480850317151
105580,60576,480850317151
105580,60577,480850317151
105580,60578,480850317151
105580,60579,480850317151
105580,60580,480850317151
105580,60581,480850317151
105580,60582,480850317151
105580,60583,480850317151
105580,60584,480850317151
105580,60585,480850317151
105580,60586,480850317151
105580,60587,480850317151
105581,60573,480850317151
105581,60574,480850317151
105581,60575,480850317151
105581,60577,480850317151
105581,60578,480850317151
105581,60588,480850317092
105581,60589,480850317092
105581,60590,480850317092
105581,60591,480850317092
105582,60588,480850317092
105582,60589,480850317092
105582,60590,480850317092
105582,60591,480850317092
105582,60592,480850317092
105582,60593,480850317092
105583,60588,480850317092
105583,60589,480850317092
105583,60590,480850317092
105583,60591,480850317092
105583,60592,480850317092
105583,60593,480850317092
105583,60594,480850317092
105584,60588,480850317092
105584,60589,480850317092
105584,60590,480850317092
105585,60561,480850317112
105585,60562,480850317112
105586,60561,480850317112
105586,60562,480850317112
105587,60560,480850317112
105587,60561,480850317112
105587,60562,480850317112
105588,60557,480850317112
105588,60558,480850317112
105588,60559,480850317112
105588,60560,480850317112
105588,60561,480850317112
105588,60562,480850317112
105589,60557,480850317112
105589,60558,480850317112
105589,60559,480850317112
105589,60560,480850317112
105589,60561,480850317112
105589,60562,480850317112
105590,60557,480850317112
105591,60543,481210216372
105592,60542,481210216372
105592,60543,481210216372
105592,60566,480850317061
105592,60567,480850317061
105592,60568,480850317062
105592,60569,480850317062
105592,60570,480850317062
105592,60571,480850317062
105592,60572,480850317062
105593,60542,481210216372
105593,60543,481210216372
105593,60564,480850317061
105593,60565,480850317061
105593,60566,480850317061
105593,60567,480850317061
105593,60568,480850317061
105593,60569,480850317062
105593,60570,480850317062
105593,60571,480850317062
105593,60572,480850317062
105593,60573,480850317062
105593,60574,480850317062
105593,60575,480850317081
105593,60576,480850317081
105593,60577,480850317081
105593,60578,480850317081
105593,60579,480850317081
105593,60589,480850317182
105593,60590,480850317182
105593,60591,480850317182
105593,60592,480850317182
105593,60593,480850317182
105593,60594,480850317182
105593,60595,480850317182
105594,60541,481210216372
105594,60542,481210216372
105594,60543,481210216372
105594,60563,480850317061
105594,60564,480850317061
105594,60565,480850317061
105594,60566,480850317061
105594,60567,480850317061
105594,60568,480850317061
105594,60569,480850317062
105594,60570,480850317062
105594,60571,480850317062
105594,60572,480850317062
105594,60573,480850317062
105594,60574,480850317062
105594,60575,480850317081
105594,60576,480850317081
105594,60577,480850317081
105594,60578,480850317081
105594,60579,480850317081
105594,60589,480850317182
105594,60590,480850317182
105594,60591,480850317182
105594,60592,480850317182
105594,60593,480850317182
105594,60594,480850317182
105594,60595,480850317182
105595,60541,481210216372
105595,60542,481210216372
105595,60543,481210216372
105595,60563,480850317061
105595,60564,480850317061
105595,60565,480850317061
105595,60566,480850317061
105595,60567,480850317061
105595,60568,480850317062
105595,60569,480850317062
105595,60570,480850317062
105595,60575,480850317081
105595,60576,480850317081
105595,60577,480850317081
105595,60578,480850317081
105595,60579,480850317081
105595,60589,480850317182
105595,60590,480850317182
105595,60591,480850317182
105595,60592,480850317182
105595,60593,480850317182
105595,60594,480850317182
105596,60540,481210216372
105596,60541,481210216372
105596,60542,481210216372
105596,60543,481210216372
105596,60563,480850317061
105596,60564,480850317061
105596,60576,480850317081
105596,60577,480850317081
105596,60578,480850317081
105596,60579,480850317081
105597,60539,481210216372
105597,60540,481210216372
105597,60541,481210216372
105597,60542,481210216372
105597,60543,481210216372
105597,60575,480850317081
105603,60564,481130136111
105603,60565,481130136111
105603,60566,481130136111
105603,60567,481130136111
105603,60568,481130136111
105603,60569,481130136111
105603,60570,481130136111
105603,60571,481130136111
105603,60572,481130136111
105603,60573,481130136111
105603,60574,481130136111
105603,60575,481130136111
105603,60576,481130136111
105603,60577,481130136111
105603,60578,481130136111
105603,60579,481130136111
105603,60580,481130136111
105603,60581,481130136111
105603,60582,481130136172
105603,60583,481130136172
105603,60584,481130136172
105603,60585,481130136172
105603,60586,481130136172
105603,60587,481130136172
105603,60588,481130136172
105603,60589,481130136172
105603,60590,481130136172
105603,60591,481130136172
105603,60592,481130136172
105603,60593,481130136172
105603,60594,481130136172
105603,60595,481130136172
105603,60596,481130136182
105603,60597,481130136182
105603,60598,481130136182
105603,60599,481130136182
105603,60600,481130136181
105603,60601,481130136181
105603,60602,481130136181
105603,60603,481130136181
105603,60604,481130136181
105603,60605,481130136181
105603,60606,481130136181
105603,60607,481130136181
105604,60564,481130136111
105604,60565,481130136111
105604,60581,481130136172
105604,60582,481130136172
105604,60583,481130136172
105604,60584,481130136172
105604,60585,481130136172
105604,60586,481130136172
105604,60595,481130136182
105604,60596,481130136182
105604,60597,481130136182
105604,60598,481130136182
105604,60599,481130136182
105604,60600,481130136181
105604,60601,481130136181
105604,60602,481130136181
105604,60603,481130136181
105604,60604,481130136181
105604,60605,481130136181
105604,60606,481130136181
105605,60595,481130136182
105605,60596,481130136182
105605,60597,481130136182
105605,60598,481130136182
105605,60599,481130136182
105605,60600,481130136181
105605,60601,481130136181
105605,60602,481130136181
105605,60603,481130136181
105605,60604,481130136181
105606,60595,481130136182
105606,60596,481130136182
105606,60597,481130136182
105606,60598,481130136182
105606,60599,481130136182
105607,60595,481130136182
105609,60591,481130136192
105610,60570,481130136112
105610,60571,481130136112
105610,60585,481130136193
105610,60586,481130136193
105610,60587,481130136192
105610,60588,481130136192
105610,60589,481130136192
105610,60590,481130136192
105610,60591,481130136192
105610,60592,481130136191
105610,60593,481130136191
105610,60594,481130136191
105610,60600,481130136051
105610,60601,481130136051
105610,60602,481130136051
105610,60603,481130136051
105610,60604,481130136051
105610,60605,481130136051
105610,60606,481130136051
105610,60607,481130136051
105611,60569,481130136112
105611,60570,481130136112
105611,60571,481130136112
105611,60572,481130136112
105611,60573,481130136112
105611,60574,481130136112
105611,60585,481130136193
105611,60586,481130136193
105611,60587,481130136192
105611,60588,481130136192
105611,60589,481130136192
105611,60590,481130136192
105611,60591,481130136192
105611,60592,481130136192
105611,60593,481130136191
105611,60594,481130136191
105611,60600,481130136051
105611,60601,481130136051
105611,60602,481130136051
105611,60603,481130136051
105611,60604,481130136051
105611,60605,481130136051
105611,60606,481130136051
105611,60607,481130136051
105612,60568,481130136112
105612,60569,481130136112
105612,60570,481130136112
105612,60571,481130136112
105612,60572,481130136112
105612,60573,481130136112
105612,60574,481130136112
105612,60575,481130136112
105612,60576,481130136112
105612,60577,481130136112
105612,60584,481130136193
105612,60585,481130136193
105612,60586,481130136193
105612,60587,481130136192
105612,60588,481130136192
105612,60589,481130136192
105612,60590,481130136192
105612,60591,481130136192
105612,60592,481130136192
105612,60593,481130136191
105612,60594,481130136191
105612,60595,481130136191
105612,60600,481130136051
105612,60601,481130136051
105612,60602,481130136051
105612,60603,481130136051
105613,60568,481130136112
105613,60569,481130136112
105613,60584,481130136193
105613,60585,481130136193
105613,60586,481130136192
105613,60587,481130136192
105613,60592,481130136191
105613,60593,481130136191
105613,60594,481130136191
105613,60595,481130136191
105614,60583,481130136193
105614,60584,481130136193
105614,60585,481130136193
105614,60592,481130136191
105614,60593,481130136191
105614,60594,481130136191
105614,60595,481130136191
105615,60582,481130136193
105615,60583,481130136193
105615,60584,481130136193
105615,60585,481130136193
105615,60586,481130136193
105615,60593,481130136191
105615,60594,481130136191
105615,60595,481130136191
105616,60582,481130136193
105616,60583,481130136193
105616,60584,481130136193
105616,60592,481130136191
105617,60580,481130136202
105617,60596,481130136053
105617,60597,481130136053
105617,60598,481130136053
105617,60599,481130136053
105618,60578,481130136202
105618,60579,481130136202
105618,60595,481130136053
105618,60596,481130136053
105618,60597,481130136053
105618,60598,481130136053
105618,60599,481130136053
105619,60569,481130136202
105619,60574,481130136202
105619,60575,481130136202
105619,60576,481130136202
105619,60577,481130136202
105619,60578,481130136202
105619,60594,481130136053
105619,60595,481130136053
105619,60596,481130136053
105619,60597,481130136053
105619,60598,481130136053
105619,60599,481130136053
105620,60569,481130136202
105620,60570,481130136202
105620,60574,481130136202
105620,60575,481130136202
105620,60576,481130136202
105620,60577,481130136202
105620,60594,481130136053
105620,60595,481130136053
105620,60596,481130136053
105620,60597,481130136053
105620,60598,481130136053
105621,60569,481130136202
105621,60570,481130136202
105621,60574,481130136202
105621,60575,481130136202
105621,60576,481130136202
105624,60581,481130136063
105624,60582,481130136063
105624,60583,481130136063
105624,60584,481130136063
105624,60585,481130136063
105624,60586,481130136063
105624,60587,481130136062
105624,60588,481130136062
105624,60589,481130136062
105624,60590,481130136062
105624,60591,481130136062
105624,60594,481130136072
105624,60595,481130136072
105624,60596,481130136072
105624,60597,481130136072
105624,60598,481130136072
105624,60599,481130136072
105624,60600,481130136071
105624,60601,481130136071
105624,60602,481130136071
105624,60603,481130136071
105624,60604,481130136071
105624,60605,481130136071
105624,60606,481130136071
105625,60572,481130136201
105625,60573,481130136201
105625,60574,481130136201
105625,60575,481130136201
105625,60581,481130136063
105625,60582,481130136063
105625,60583,481130136063
105625,60584,481130136063
105625,60585,481130136063
105625,60586,481130136063
105625,60587,481130136062
105625,60588,481130136062
105625,60589,481130136062
105625,60590,481130136062
105625,60591,481130136062
105625,60594,481130136072
105625,60595,481130136072
105625,60596,481130136072
105625,60597,481130136072
105625,60598,481130136072
105625,60599,481130136072
105625,60600,481130136071
105625,60601,481130136071
105625,60602,481130136071
105625,60603,481130136071
105625,60604,481130136071
105625,60605,481130136071
105625,60606,481130136071
105626,60571,481130136201
105626,60572,481130136201
105626,60573,481130136201
105626,60574,481130136201
105626,60575,481130136201
105626,60576,481130136201
105626,60581,481130136063
105626,60582,481130136063
105626,60583,481130136063
105626,60584,481130136063
105626,60585,481130136063
105626,60586,481130136063
105626,60587,481130136062
105626,60588,481130136062
105626,60589,481130136062
105626,60590,481130136062
105626,60591,481130136062
105626,60594,481130136072
105626,60595,481130136072
105626,60596,481130136072
105626,60597,481130136072
105626,60598,481130136072
105626,60599,481130136072
105626,60600,481130136071
105626,60601,481130136071
105626,60602,481130136071
105626,60603,481130136071
105626,60604,481130136071
105626,60605,481130136071
105627,60569,481130136201
105627,60570,481130136201
105627,60571,481130136201
105627,60572,481130136201
105627,60573,481130136201
105627,60574,481130136201
105627,60575,481130136201
105627,60581,481130136063
105627,60582,481130136063
105627,60587,481130136062
105627,60588,481130136062
105627,60589,481130136062
105627,60594,481130136072
105627,60595,481130136072
105628,60569,481130136201
105628,60570,481130136201
105628,60571,481130136201
105628,60586,481130136062
105628,60587,481130136062
105630,60806,483970401012
105630,60807,483970401012
105631,60806,483970401012
105631,60807,483970401012
105631,60808,483970401012
105631,60809,483970401012
105631,60810,483970401012
105632,60805,483970401012
105632,60806,483970401012
105632,60807,483970401012
105632,60808,483970401012
105632,60809,483970401012
105632,60810,483970401012
105632,60811,483970401012
105633,60805,483970401012
105633,60806,483970401012
105633,60807,483970401012
105633,60808,483970401012
105633,60809,483970401012
105634,60804,483970401012
105635,60582,481130136081
105635,60583,481130136081
105635,60584,481130136081
105635,60585,481130136081
105635,60586,481130136081
105635,60587,481130136081
105635,60588,481130136081
105635,60589,481130136081
105635,60590,481130136081
105635,60591,481130136081
105635,60592,481130136081
105635,60593,481130136081
105635,60594,481130136081
105635,60595,481130136092
105635,60596,481130136092
105635,60597,481130136092
