y_tile,x_tile
108022,61567
108023,61567
108024,61567
108024,61568
108025,61567
108025,61568
108026,61567
108026,61568
108027,61567
108027,61568
108028,61567
108028,61568
108029,61567
108029,61568
108030,61567
108030,61568
108030,61569
108031,61567
108031,61568
108031,61569
108031,61570
108032,61567
108032,61568
108032,61569
108032,61570
108033,61567
108033,61568
108033,61569
108033,61570
108034,61566
108034,61567
108034,61568
108034,61569
108034,61570
108034,61571
108035,61566
108035,61567
108035,61568
108035,61569
108035,61570
108035,61571
108036,61566
108036,61567
108036,61568
108036,61569
108036,61570
108036,61571
108036,61572
108037,61565
108037,61566
108037,61567
108037,61568
108037,61569
108037,61570
108037,61571
108037,61572
108037,61573
108038,61565
108038,61566
108038,61567
108038,61568
108038,61569
108038,61570
108038,61571
108038,61572
108038,61573
108038,61574
108038,61580
108039,61565
108039,61566
108039,61567
108039,61568
108039,61569
108039,61570
108039,61571
108039,61572
108039,61573
108039,61574
108039,61575
108039,61579
108039,61580
108039,61581
108040,61564
108040,61565
108040,61567
108040,61568
108040,61569
108040,61570
108040,61571
108040,61572
108040,61573
108040,61574
108040,61575
108040,61576
108040,61579
108040,61580
108040,61581
108041,61550
108041,61551
108041,61564
108041,61565
108041,61568
108041,61569
108041,61571
108041,61572
108041,61573
108041,61575
108041,61576
108041,61577
108041,61579
108041,61580
108041,61581
108042,61550
108042,61551
108042,61563
108042,61564
108042,61565
108042,61566
108042,61567
108042,61568
108042,61569
108042,61572
108042,61573
108042,61574
108042,61575
108042,61577
108042,61578
108042,61579
108042,61580
108042,61581
108043,61488
108043,61489
108043,61490
108043,61491
108043,61492
108043,61493
108043,61549
108043,61550
108043,61551
108043,61563
108043,61564
108043,61565
108043,61566
108043,61567
108043,61568
108043,61569
108043,61572
108043,61573
108043,61574
108043,61575
108043,61578
108043,61579
108043,61580
108043,61581
108043,61582
108044,61488
108044,61489
108044,61490
108044,61491
108044,61492
108044,61493
108044,61549
108044,61550
108044,61562
108044,61563
108044,61565
108044,61566
108044,61567
108044,61568
108044,61569
108044,61572
108044,61573
108044,61574
108044,61575
108044,61576
108044,61579
108044,61580
108044,61581
108044,61582
108045,61488
108045,61489
108045,61490
108045,61491
108045,61492
108045,61549
108045,61550
108045,61551
108045,61562
108045,61563
108045,61564
108045,61565
108045,61566
108045,61567
108045,61568
108045,61569
108045,61570
108045,61571
108045,61572
108045,61573
108045,61574
108045,61575
108045,61576
108045,61577
108045,61579
108045,61580
108045,61582
108046,61489
108046,61490
108046,61491
108046,61548
108046,61549
108046,61550
108046,61551
108046,61561
108046,61562
108046,61567
108046,61568
108046,61569
108046,61570
108046,61571
108046,61573
108046,61574
108046,61575
108046,61576
108046,61577
108046,61578
108046,61579
108046,61580
108046,61581
108046,61582
108046,61583
108046,61584
108046,61585
108047,61490
108047,61491
108047,61548
108047,61549
108047,61550
108047,61551
108047,61552
108047,61554
108047,61555
108047,61560
108047,61561
108047,61562
108047,61563
108047,61576
108047,61577
108047,61578
108047,61579
108047,61580
108047,61581
108047,61582
108047,61583
108047,61584
108047,61585
108047,61586
108047,61587
108048,61490
108048,61491
108048,61548
108048,61549
108048,61550
108048,61551
108048,61552
108048,61553
108048,61554
108048,61555
108048,61558
108048,61559
108048,61560
108048,61562
108048,61563
108048,61579
108048,61580
108048,61583
108048,61584
108048,61586
108048,61587
108048,61588
108048,61589
108048,61590
108048,61591
108049,61490
108049,61491
108049,61492
108049,61548
108049,61549
108049,61550
108049,61551
108049,61552
108049,61553
108049,61554
108049,61555
108049,61556
108049,61557
108049,61558
108049,61559
108049,61560
108049,61563
108049,61565
108049,61566
108049,61567
108049,61568
108049,61569
108049,61570
108049,61579
108049,61580
108049,61581
108049,61590
108049,61591
108049,61592
108049,61593
108049,61594
108049,61595
108050,61490
108050,61491
108050,61492
108050,61548
108050,61549
108050,61550
108050,61551
108050,61552
108050,61553
108050,61554
108050,61555
108050,61556
108050,61557
108050,61558
108050,61559
108050,61560
108050,61562
108050,61563
108050,61565
108050,61566
108050,61567
108050,61568
108050,61569
108050,61570
108050,61579
108050,61580
108050,61581
108050,61582
108050,61583
108050,61594
108050,61595
108050,61596
108050,61597
108050,61598
108050,61599
108050,61600
108050,61601
108050,61602
108051,61491
108051,61492
108051,61548
108051,61549
108051,61550
108051,61551
108051,61552
108051,61553
108051,61555
108051,61556
108051,61557
108051,61558
108051,61559
108051,61560
108051,61561
108051,61562
108051,61563
108051,61564
108051,61565
108051,61566
108051,61567
108051,61568
108051,61569
108051,61570
108051,61583
108051,61584
108051,61601
108051,61602
108051,61603
108051,61620
108051,61621
108051,61622
108052,61491
108052,61492
108052,61548
108052,61549
108052,61550
108052,61551
108052,61552
108052,61553
108052,61554
108052,61555
108052,61556
108052,61557
108052,61558
108052,61559
108052,61560
108052,61561
108052,61562
108052,61563
108052,61564
108052,61565
108052,61566
108052,61568
108052,61569
108052,61570
108052,61576
108052,61577
108052,61578
108052,61579
108052,61580
108052,61581
108052,61582
108052,61583
108052,61584
108052,61585
108052,61603
108052,61604
108052,61605
108052,61618
108052,61619
108052,61620
108052,61621
108052,61622
108053,61491
108053,61547
108053,61548
108053,61549
108053,61550
108053,61551
108053,61552
108053,61553
108053,61554
108053,61555
108053,61556
108053,61557
108053,61558
108053,61559
108053,61560
108053,61561
108053,61562
108053,61563
108053,61564
108053,61565
108053,61566
108053,61567
108053,61568
108053,61569
108053,61570
108053,61571
108053,61572
108053,61573
108053,61575
108053,61576
108053,61577
108053,61578
108053,61579
108053,61580
108053,61581
108053,61582
108053,61584
108053,61585
108053,61586
108053,61604
108053,61605
108053,61616
108053,61617
108053,61618
108053,61619
108053,61620
108053,61621
108054,61491
108054,61547
108054,61548
108054,61549
108054,61550
108054,61551
108054,61552
108054,61553
108054,61554
108054,61555
108054,61556
108054,61557
108054,61558
108054,61559
108054,61560
108054,61561
108054,61562
108054,61563
108054,61564
108054,61565
108054,61566
108054,61567
108054,61568
108054,61569
108054,61570
108054,61571
108054,61572
108054,61573
108054,61575
108054,61576
108054,61577
108054,61578
108054,61579
108054,61580
108054,61581
108054,61582
108054,61584
108054,61585
108054,61586
108054,61587
108054,61604
108054,61605
108054,61606
108054,61614
108054,61615
108054,61616
108054,61617
108054,61618
108054,61619
108055,61491
108055,61547
108055,61548
108055,61549
108055,61550
108055,61551
108055,61552
108055,61553
108055,61554
108055,61555
108055,61556
108055,61557
108055,61558
108055,61559
108055,61560
108055,61561
108055,61562
108055,61563
108055,61564
108055,61565
108055,61566
108055,61567
108055,61568
108055,61569
108055,61570
108055,61571
108055,61572
108055,61573
108055,61574
108055,61575
108055,61576
108055,61577
108055,61578
108055,61579
108055,61580
108055,61581
108055,61582
108055,61583
108055,61584
108055,61585
108055,61586
108055,61587
108055,61588
108055,61606
108055,61613
108055,61614
108055,61615
108055,61616
108055,61617
108055,61618
108056,61491
108056,61547
108056,61548
108056,61549
108056,61550
108056,61551
108056,61552
108056,61553
108056,61554
108056,61555
108056,61556
108056,61557
108056,61558
108056,61559
108056,61560
108056,61561
108056,61562
108056,61563
108056,61564
108056,61565
108056,61566
108056,61567
108056,61568
108056,61569
108056,61570
108056,61571
108056,61572
108056,61573
108056,61574
108056,61575
108056,61576
108056,61577
108056,61578
108056,61579
108056,61580
108056,61581
108056,61582
108056,61583
108056,61584
108056,61585
108056,61586
108056,61587
108056,61588
108056,61589
108056,61606
108056,61607
108056,61612
108056,61613
108056,61614
108056,61615
108056,61616
108056,61617
108057,61490
108057,61491
108057,61547
108057,61548
108057,61549
108057,61550
108057,61551
108057,61552
108057,61553
108057,61554
108057,61555
108057,61556
108057,61557
108057,61558
108057,61559
108057,61560
108057,61561
108057,61562
108057,61563
108057,61564
108057,61565
108057,61566
108057,61567
108057,61568
108057,61569
108057,61570
108057,61571
108057,61572
108057,61573
108057,61574
108057,61575
108057,61576
108057,61577
