y_tile,x_tile,CBG Code
108047,61576,483396919002
108047,61577,483396919002
108047,61578,483396919002
108047,61579,483396919002
108047,61580,483396919002
108047,61581,483396919002
108047,61582,483396919002
108047,61583,483396919002
108047,61584,483396919002
108047,61585,483396919002
108048,61563,483396914031
108048,61579,483396919002
108048,61580,483396919002
108048,61583,483396919002
108048,61584,483396919002
108048,61586,483396919002
108048,61587,483396919002
108048,61588,483396919002
108049,61563,483396914031
108049,61565,483396914031
108049,61566,483396914031
108049,61567,483396914031
108049,61579,483396919002
108049,61580,483396919002
108049,61581,483396919002
108050,61563,483396914031
108050,61565,483396914031
108050,61566,483396914031
108050,61567,483396914031
108050,61568,483396914031
108050,61569,483396914031
108050,61570,483396914031
108051,61563,483396914031
108051,61564,483396914031
108051,61565,483396914031
108051,61566,483396914031
108051,61567,483396914031
108051,61568,483396914031
108051,61569,483396914031
108061,61773,482012515012
108062,61772,482012515012
108062,61773,482012515012
108062,61774,482012515012
108063,61771,482012515012
108063,61772,482012515012
108063,61773,482012515012
108063,61774,482012515012
108064,61770,482012515012
108064,61771,482012515012
108064,61772,482012515012
108064,61773,482012515012
108064,61774,482012515012
108065,61769,482012515012
108065,61770,482012515012
108065,61771,482012515012
108065,61772,482012515012
108065,61773,482012515012
108065,61774,482012515012
108065,61775,482012515012
108082,61783,482012516002
108082,61784,482012516002
108082,61785,482012516002
108082,61786,482012516002
108082,61787,482012516002
108083,61783,482012516002
108083,61784,482012516002
108083,61785,482012516002
108083,61786,482012516002
108083,61787,482012516002
108083,61788,482012516002
108083,61789,482012516002
108083,61790,482012516002
108084,61782,482012516002
108084,61783,482012516002
108084,61784,482012516002
108084,61785,482012516002
108084,61786,482012516002
108084,61787,482012516002
108084,61788,482012516002
108085,61779,482012515011
108086,61776,482012515011
108086,61777,482012515011
108086,61778,482012515011
108086,61779,482012515011
108086,61780,482012515011
108086,61781,482012515011
108086,61782,482012515011
108087,61769,482012515011
108087,61770,482012515011
108087,61776,482012515011
108087,61777,482012515011
108087,61778,482012515011
108087,61779,482012515011
108087,61780,482012515011
108087,61781,482012515011
108087,61782,482012515011
108088,61768,482012515011
108088,61769,482012515011
108088,61770,482012515011
108090,61579,482012413022
108091,61577,482015534033
108091,61578,482012413022
108091,61579,482012413022
108092,61522,482015549052
108092,61523,482015549052
108092,61524,482015549052
108092,61525,482015549052
108092,61526,482015549052
108092,61527,482015549052
108092,61528,482015549052
108092,61529,482015549052
108092,61530,482015549052
108092,61531,482015549052
108092,61532,482015549052
108092,61575,482015534033
108092,61576,482015534033
108092,61577,482015534033
108092,61578,482012413022
108092,61579,482012413022
108093,61523,482015549052
108093,61524,482015549052
108093,61525,482015549052
108093,61526,482015549052
108093,61527,482015549052
108093,61528,482015549052
108093,61529,482015549052
108093,61530,482015549052
108093,61531,482015549052
108093,61574,482015534033
108093,61575,482015534033
108093,61576,482015534033
108093,61577,482015534033
108093,61578,482012413022
108093,61579,482012413022
108093,61580,482012413022
108094,61572,482015534033
108094,61573,482015534033
108094,61574,482015534033
108094,61575,482015534033
108094,61576,482015534033
108094,61577,482015534033
108094,61578,482012413022
108094,61579,482012413022
108094,61580,482012413022
108094,61780,482012509022
108094,61781,482012509022
108094,61782,482012509022
108094,61783,482012509022
108094,61784,482012509022
108094,61785,482012509022
108094,61786,482012509022
108094,61787,482012509022
108094,61788,482012509022
108095,61548,482015550011
108095,61549,482015550011
108095,61550,482015550011
108095,61551,482015550011
108095,61552,482015550011
108095,61553,482015550011
108095,61554,482015550011
108095,61555,482015550011
108095,61556,482015550011
108095,61557,482015550011
108095,61558,482015550011
108095,61559,482015550011
108095,61560,482015550011
108095,61561,482015550011
108095,61562,482015550011
108095,61563,482015550011
108095,61564,482015550011
108095,61565,482015550011
108095,61566,482015550011
108095,61569,482015550011
108095,61571,482015534033
108095,61572,482015534033
108095,61573,482015534033
108095,61574,482015534033
108095,61575,482015534033
108095,61576,482015534033
108095,61578,482012413022
108095,61579,482012413022
108095,61580,482012413022
108095,61581,482012413022
108095,61703,483396923033
108095,61780,482012509022
108095,61781,482012509022
108095,61782,482012509022
108095,61783,482012509022
108095,61784,482012509022
108095,61785,482012509022
108095,61786,482012509022
108095,61787,482012509022
108095,61788,482012509022
108096,61578,482012413022
108096,61579,482012413022
108096,61580,482012413022
108096,61581,482012413022
108096,61582,482012413022
108096,61703,483396923033
108096,61780,482012509022
108096,61781,482012509022
108097,61703,483396923033
108097,61704,483396923033
108097,61705,483396923033
108097,61706,483396923033
108098,61703,483396923033
108098,61704,483396923033
108098,61705,483396923033
108098,61706,483396923033
108098,61707,483396923033
108099,61703,483396923033
108099,61704,483396923033
108099,61705,483396923033
108099,61706,483396923033
108099,61707,483396923033
108099,61708,483396923033
108100,61703,483396923033
108100,61704,483396923033
108100,61705,483396923033
108101,61569,482015534052
108101,61570,482015534052
108101,61571,482015534052
108101,61572,482015534052
108101,61573,482015534052
108101,61716,483396924021
108102,61569,482015534052
108102,61570,482015534052
108102,61571,482015534052
108102,61572,482015534052
108102,61573,482015534052
108102,61574,482015534052
108102,61716,483396924021
108103,61568,482015534052
108103,61569,482015534052
108103,61570,482015534052
108103,61571,482015534052
108103,61572,482015534052
108103,61573,482015534052
108103,61574,482015534052
108103,61575,482015534052
108103,61716,483396924021
108104,61568,482015534052
108104,61713,483396924021
108104,61714,483396924021
108104,61715,483396924021
108104,61716,483396924021
108104,61792,482012509024
108104,61793,482012509024
108105,61713,483396924021
108105,61714,483396924021
108105,61715,483396924021
108105,61716,483396924021
108105,61791,482012509024
108105,61792,482012509024
108105,61793,482012509024
108105,61794,482012509024
108106,61713,483396924021
108106,61740,482012513004
108106,61741,482012513004
108106,61789,482012509024
108106,61790,482012509024
108106,61791,482012509024
108106,61792,482012509024
108106,61793,482012509024
108106,61794,482012509024
108106,61795,482012509024
108106,61824,482012517012
108106,61825,482012517012
108107,61712,483396924021
108107,61713,483396924021
108107,61714,483396924021
108107,61715,483396924021
108107,61740,482012513004
108107,61741,482012513004
108107,61742,482012513004
108107,61743,482012513004
108107,61744,482012513004
108107,61745,482012513004
108107,61746,482012513004
108107,61747,482012513004
108107,61748,482012513004
108107,61786,482012509023
108107,61787,482012509023
108107,61788,482012509023
108107,61789,482012509024
108107,61790,482012509024
108107,61791,482012509024
108107,61792,482012509024
108107,61793,482012509024
108107,61794,482012509024
108107,61795,482012509024
108107,61822,482012517012
108107,61823,482012517012
108107,61824,482012517012
108107,61825,482012517012
108108,61712,483396924021
108108,61713,483396924021
108108,61714,483396924021
108108,61715,483396924021
108108,61740,482012513004
108108,61741,482012513004
108108,61742,482012513004
108108,61743,482012513004
108108,61744,482012513004
108108,61745,482012513004
108108,61746,482012513004
108108,61747,482012513004
108108,61748,482012513004
108108,61785,482012509023
108108,61786,482012509023
108108,61787,482012509023
108108,61821,482012517012
108108,61822,482012517012
108108,61823,482012517012
108108,61824,482012517012
108108,61825,482012517012
108108,61826,482012517012
108109,61771,482012509011
108109,61772,482012509011
108109,61773,482012509011
108109,61774,482012509011
108109,61775,482012509011
108109,61776,482012509011
108109,61777,482012509011
108109,61784,482012509023
108109,61785,482012509023
108109,61786,482012509023
108109,61787,482012509023
108109,61820,482012517012
108109,61821,482012517012
108109,61822,482012517012
108109,61823,482012517012
108109,61824,482012517012
108109,61825,482012517012
108109,61826,482012517012
108110,61578,482015534011
108110,61769,482012509011
108110,61770,482012509011
108110,61771,482012509011
108110,61772,482012509011
108110,61773,482012509011
108110,61774,482012509011
108110,61775,482012509011
108110,61776,482012509011
108110,61777,482012509011
108110,61784,482012509023
108110,61785,482012509023
108110,61786,482012509023
108110,61787,482012509023
108110,61788,482012509023
108110,61820,482012517012
108111,61443,482015555033
108111,61447,482015555033
108111,61577,482015534011
108111,61728,482012511003
108111,61729,482012511003
108111,61762,482012509012
108111,61763,482012509012
108111,61764,482012509012
108111,61765,482012509012
108111,61766,482012509012
108111,61767,482012509012
108111,61768,482012509012
108111,61769,482012509011
108111,61770,482012509011
108111,61771,482012509011
108111,61772,482012509011
108111,61778,482012509023
108111,61779,482012509023
108111,61787,482012509023
108111,61788,482012509023
108111,61789,482012509023
108112,61443,482015555033
108112,61448,482015555033
108112,61576,482015534011
108112,61577,482015534011
108112,61578,482015534011
108112,61579,482015534011
108112,61580,482015534011
108112,61719,482012511005
108112,61726,482012511003
108112,61727,482012511003
108112,61728,482012511003
108112,61729,482012511003
108112,61761,482012509012
108112,61762,482012509012
108112,61763,482012509012
108112,61764,482012509012
108112,61765,482012509012
108112,61766,482012509012
108112,61767,482012509012
108112,61768,482012509012
108113,61443,482015555033
108113,61447,482015555033
108113,61448,482015555033
108113,61575,482015534011
108113,61576,482015534011
108113,61577,482015534011
108113,61580,482015534011
108113,61718,482012511005
108113,61719,482012511005
108113,61720,482012511003
108113,61721,482012511003
108113,61722,482012511003
108113,61723,482012511003
108113,61724,482012511003
108113,61725,482012511003
108113,61726,482012511003
108113,61727,482012511003
108113,61728,482012511003
108113,61729,482012511003
108113,61737,482012510001
108113,61738,482012510001
108113,61758,482012510003
108113,61762,482012509012
108113,61763,482012509012
108113,61764,482012509012
108113,61765,482012509012
108113,61766,482012509012
108114,61443,482015555033
108114,61445,482015555033
108114,61446,482015555033
108114,61447,482015555033
108114,61448,482015555033
108114,61449,482015555033
108114,61573,482015534011
108114,61574,482015534011
108114,61575,482015534011
108114,61577,482015534011
108114,61578,482015534011
108114,61579,482015534011
108114,61716,482012511005
108114,61717,482012511005
108114,61718,482012511005
108114,61719,482012511005
108114,61720,482012511003
108114,61721,482012511003
108114,61722,482012511003
108114,61723,482012511003
108114,61737,482012510001
108114,61738,482012510001
108114,61739,482012510001
108114,61740,482012510001
108114,61757,482012510003
108114,61758,482012510003
108115,61443,482015555033
108115,61444,482015555033
108115,61445,482015555033
108115,61446,482015555033
108115,61447,482015555033
108115,61448,482015555033
108115,61449,482015555033
108115,61715,482012511005
108115,61716,482012511005
108115,61717,482012511005
108115,61718,482012511005
108115,61719,482012511005
108115,61737,482012510001
108115,61738,482012510001
108115,61739,482012510001
108115,61740,482012510001
108115,61741,482012510001
108115,61742,482012510001
108115,61757,482012510003
108115,61758,482012510003
108115,61759,482012510003
108116,61714,482012511005
108116,61715,482012511005
108116,61716,482012511005
108116,61717,482012511005
108116,61718,482012511005
108116,61719,482012511005
108116,61736,482012510001
108116,61737,482012510001
108116,61738,482012510001
108116,61739,482012510001
108116,61740,482012510001
108116,61741,482012510001
108116,61742,482012510001
108116,61743,482012510001
108116,61756,482012510003
108116,61757,482012510003
108116,61758,482012510003
108116,61759,482012510003
108117,61713,482012511005
108117,61714,482012511005
108117,61754,482012510003
108117,61755,482012510003
108117,61756,482012510003
108117,61757,482012510003
108117,61758,482012510003
