y_tile,x_tile,CBG Code_x,CBG Code_y
107660,71633,120310103012,120310103012
107660,71634,120310103012,120310103012
107660,71635,120310103012,120310103012
107660,71647,120310103012,120310103012
107660,71648,120310103012,120310103012
107661,71632,120310103012,120310103012
107661,71633,120310103012,120310103012
107661,71634,120310103012,120310103012
107661,71635,120310103012,120310103012
107661,71645,120310103012,120310103012
107661,71646,120310103012,120310103012
107661,71647,120310103012,120310103012
107661,71648,120310103012,120310103012
107661,71649,120310103012,120310103012
107662,71631,120310103012,120310103012
107662,71632,120310103012,120310103012
107662,71633,120310103012,120310103012
107662,71634,120310103012,120310103012
107662,71635,120310103012,120310103012
107662,71636,120310103012,120310103012
107668,71616,120310103011,120310103011
107668,71617,120310103011,120310103011
107669,71616,120310103011,120310103011
107669,71617,120310103011,120310103011
107669,71618,120310103011,120310103011
107669,71619,120310103011,120310103011
107669,71646,120310101072,120310101072
107670,71616,120310103011,120310103011
107670,71617,120310103011,120310103011
107670,71618,120310103011,120310103011
107670,71619,120310103011,120310103011
107670,71646,120310101072,120310101072
107670,71647,120310101072,120310101072
107670,71648,120310101072,120310101072
107671,71616,120310103011,120310103011
107671,71617,120310103011,120310103011
107671,71618,120310103011,120310103011
107671,71619,120310103011,120310103011
107671,71645,120310101072,120310101072
107671,71646,120310101072,120310101072
107671,71647,120310101072,120310101072
107671,71648,120310101072,120310101072
107671,71649,120310101072,120310101072
107672,71564,120310103011,120310103011
107672,71566,120310103011,120310103011
107672,71567,120310103011,120310103011
107672,71613,120310103011,120310103011
107672,71614,120310103011,120310103011
107672,71615,120310103011,120310103011
107672,71644,120310101072,120310101072
107672,71645,120310101072,120310101072
107672,71646,120310101072,120310101072
107672,71647,120310101072,120310101072
107672,71648,120310101072,120310101072
107672,71649,120310101072,120310101072
107672,71650,120310101072,120310101072
107673,71644,120310101072,120310101072
107673,71645,120310101072,120310101072
107673,71646,120310101072,120310101072
107673,71647,120310101072,120310101072
107676,71715,120310101071,120310101071
107676,71716,120310101071,120310101071
107676,71717,120310101071,120310101071
107677,71714,120310101071,120310101071
107677,71715,120310101071,120310101071
107677,71716,120310101071,120310101071
107677,71717,120310101071,120310101071
107677,71718,120310101071,120310101071
107677,71719,120310101071,120310101071
107677,71720,120310101071,120310101071
107677,71721,120310101071,120310101071
107678,71713,120310101071,120310101071
107678,71714,120310101071,120310101071
107678,71715,120310101071,120310101071
107678,71716,120310101071,120310101071
107678,71717,120310101071,120310101071
107678,71718,120310101071,120310101071
107678,71719,120310101071,120310101071
107678,71720,120310101071,120310101071
107678,71721,120310101071,120310101071
107693,71637,120310101012,120310101012
107694,71637,120310101012,120310101012
107694,71638,120310101012,120310101012
107695,71637,120310101012,120310101012
107695,71638,120310101012,120310101012
107695,71639,120310101012,120310101012
107695,71640,120310101012,120310101012
107696,71637,120310101012,120310101012
107696,71638,120310101012,120310101012
107696,71639,120310101012,120310101012
107696,71640,120310101012,120310101012
107696,71641,120310101012,120310101012
107697,71637,120310101012,120310101012
107697,71638,120310101012,120310101012
107697,71639,120310101012,120310101012
107697,71640,120310101012,120310101012
107697,71641,120310101012,120310101012
107697,71642,120310101012,120310101012
107698,71637,120310101012,120310101012
107698,71638,120310101012,120310101012
107706,71654,120310101014,120310101014
107706,71655,120310101014,120310101014
107707,71653,120310101014,120310101014
107707,71654,120310101014,120310101014
107707,71655,120310101014,120310101014
107708,71652,120310101014,120310101014
107708,71653,120310101014,120310101014
107708,71654,120310101014,120310101014
107708,71655,120310101014,120310101014
107708,71656,120310101014,120310101014
107709,71651,120310101014,120310101014
107709,71652,120310101014,120310101014
107709,71653,120310101014,120310101014
107709,71654,120310101014,120310101014
107709,71655,120310101014,120310101014
107709,71656,120310101014,120310101014
107710,71650,120310101014,120310101014
107710,71651,120310101014,120310101014
107710,71652,120310101014,120310101014
107710,71653,120310101014,120310101014
107712,71754,120310101051,120310101051
107712,71755,120310101051,120310101051
107713,71754,120310101051,120310101051
107713,71755,120310101051,120310101051
107713,71756,120310101051,120310101051
107714,71753,120310101051,120310101051
107714,71754,120310101051,120310101051
107714,71755,120310101051,120310101051
107714,71756,120310101051,120310101051
107714,71757,120310101051,120310101051
107714,71758,120310101051,120310101051
107715,71753,120310101051,120310101051
107715,71754,120310101051,120310101051
107715,71755,120310101051,120310101051
107715,71756,120310101051,120310101051
107715,71757,120310101051,120310101051
107715,71758,120310101051,120310101051
107715,71759,120310101051,120310101051
107716,71752,120310101051,120310101051
107716,71753,120310101051,120310101051
107717,71532,120310105011,120310105011
107718,71531,120310105011,120310105011
107718,71532,120310105011,120310105011
107718,71533,120310105011,120310105011
107718,71534,120310105011,120310105011
107719,71530,120310105011,120310105011
107719,71531,120310105011,120310105011
107719,71532,120310105011,120310105011
107719,71533,120310105011,120310105011
107719,71534,120310105011,120310105011
107719,71535,120310105011,120310105011
107720,71529,120310105011,120310105011
107720,71530,120310105011,120310105011
107720,71531,120310105011,120310105011
107720,71532,120310105011,120310105011
107720,71533,120310105011,120310105011
107720,71534,120310105011,120310105011
107720,71535,120310105011,120310105011
107721,71528,120310105011,120310105011
107721,71529,120310105011,120310105011
107728,71636,120310101013,120310101013
107728,71637,120310101013,120310101013
107728,71638,120310101013,120310101013
107728,71639,120310101013,120310101013
107728,71640,120310101013,120310101013
107728,71641,120310101013,120310101013
107728,71642,120310101013,120310101013
107728,71783,120319900000,120319900000
107728,71784,120319900000,120319900000
107728,71785,120319900000,120319900000
107728,71786,120319900000,120319900000
107728,71787,120319900000,120319900000
107728,71788,120319900000,120319900000
107728,71789,120319900000,120319900000
107728,71790,120319900000,120319900000
107729,71636,120310101013,120310101013
107729,71637,120310101013,120310101013
107729,71638,120310101013,120310101013
107729,71639,120310101013,120310101013
107729,71640,120310101013,120310101013
107729,71641,120310101013,120310101013
107729,71642,120310101013,120310101013
107729,71670,120310101063,120310101063
107729,71671,120310101063,120310101063
107729,71672,120310101063,120310101063
107729,71673,120310101063,120310101063
107729,71784,120319900000,120319900000
107729,71785,120319900000,120319900000
107729,71786,120319900000,120319900000
107729,71787,120319900000,120319900000
107729,71788,120319900000,120319900000
107729,71789,120319900000,120319900000
107729,71790,120319900000,120319900000
107729,71791,120319900000,120319900000
107729,71792,120319900000,120319900000
107729,71793,120319900000,120319900000
107729,71794,120319900000,120319900000
107729,71795,120319900000,120319900000
107730,71636,120310101013,120310101013
107730,71637,120310101013,120310101013
107730,71638,120310101013,120310101013
107730,71639,120310101013,120310101013
107730,71640,120310101013,120310101013
107730,71641,120310101013,120310101013
107730,71669,120310101063,120310101063
107730,71670,120310101063,120310101063
107730,71671,120310101063,120310101063
107730,71672,120310101063,120310101063
107730,71673,120310101063,120310101063
107730,71674,120310101063,120310101063
107730,71675,120310101063,120310101063
107730,71676,120310101063,120310101063
107730,71677,120310101063,120310101063
107730,71678,120310101063,120310101063
107730,71679,120310101063,120310101063
107730,71680,120310101063,120310101063
107730,71681,120310101063,120310101063
107730,71682,120310101063,120310101063
107730,71683,120310101063,120310101063
107730,71684,120310101063,120310101063
107738,71551,120310105013,120310105013
107739,71550,120310105013,120310105013
107739,71551,120310105013,120310105013
107739,71552,120310105013,120310105013
107740,71550,120310105013,120310105013
107740,71551,120310105013,120310105013
107740,71552,120310105013,120310105013
107740,71553,120310105013,120310105013
107741,71549,120310105013,120310105013
107741,71550,120310105013,120310105013
107741,71551,120310105013,120310105013
107741,71552,120310105013,120310105013
107741,71553,120310105013,120310105013
107741,71554,120310105013,120310105013
107742,71549,120310105013,120310105013
107742,71550,120310105013,120310105013
107742,71551,120310105013,120310105013
107742,71552,120310105013,120310105013
107742,71553,120310105013,120310105013
107742,71554,120310105013,120310105013
107742,71634,120310102042,120310102042
107742,71635,120310102042,120310102042
107743,71634,120310102042,120310102042
107743,71635,120310102042,120310102042
107743,71636,120310102042,120310102042
107743,71637,120310102042,120310102042
107743,71638,120310102042,120310102042
107744,71633,120310102042,120310102042
107744,71634,120310102042,120310102042
107744,71635,120310102042,120310102042
107744,71636,120310102042,120310102042
107744,71637,120310102042,120310102042
107744,71638,120310102042,120310102042
107744,71639,120310102042,120310102042
107744,71640,120310102042,120310102042
107744,71641,120310102042,120310102042
107744,71642,120310102042,120310102042
107744,71659,120310101011,120310101011
107744,71660,120310101011,120310101011
107745,71633,120310102042,120310102042
107745,71634,120310102042,120310102042
107745,71635,120310102042,120310102042
107745,71658,120310101011,120310101011
107745,71659,120310101011,120310101011
107745,71660,120310101011,120310101011
107746,71651,120310101011,120310101011
107746,71652,120310101011,120310101011
107746,71653,120310101011,120310101011
107746,71654,120310101011,120310101011
107746,71655,120310101011,120310101011
107746,71656,120310101011,120310101011
107746,71657,120310101011,120310101011
107746,71658,120310101011,120310101011
107746,71659,120310101011,120310101011
107746,71660,120310101011,120310101011
107746,71661,120310101011,120310101011
107747,71651,120310101011,120310101011
107747,71652,120310101011,120310101011
107747,71653,120310101011,120310101011
107747,71654,120310101011,120310101011
107753,71631,120310102041,120310102041
107753,71633,120310102041,120310102041
107753,71634,120310102041,120310102041
107753,71635,120310102041,120310102041
107753,71636,120310102041,120310102041
107753,71637,120310102041,120310102041
107753,71638,120310102041,120310102041
107753,71639,120310102041,120310102041
107753,71640,120310102041,120310102041
107753,71641,120310102041,120310102041
107753,71642,120310102041,120310102041
107753,71643,120310102041,120310102041
107754,71631,120310102041,120310102041
107754,71632,120310102041,120310102041
107754,71633,120310102041,120310102041
107754,71634,120310102041,120310102041
107754,71635,120310102041,120310102041
107754,71636,120310102041,120310102041
107754,71637,120310102041,120310102041
107754,71638,120310102041,120310102041
107758,71651,120310101042,120310101042
107759,71640,120310102034,120310102034
107759,71641,120310102034,120310102034
107759,71642,120310102034,120310102034
107759,71651,120310101042,120310101042
107759,71652,120310101042,120310101042
107760,71484,120310106021,120310106021
107760,71497,120310105022,120310105022
107760,71498,120310105022,120310105022
107760,71636,120310102031,120310102031
107760,71637,120310102031,120310102031
107760,71638,120310102031,120310102031
107760,71639,120310102031,120310102031
107760,71640,120310102034,120310102034
107760,71641,120310102034,120310102034
107760,71642,120310102034,120310102034
107760,71650,120310101042,120310101042
107760,71651,120310101042,120310101042
107760,71652,120310101042,120310101042
107760,71653,120310101042,120310101042
107761,71483,120310106021,120310106021
107761,71484,120310106021,120310106021
107761,71485,120310106021,120310106021
107761,71495,120310105022,120310105022
107761,71496,120310105022,120310105022
107761,71497,120310105022,120310105022
107761,71498,120310105022,120310105022
107761,71499,120310105022,120310105022
107761,71500,120310105022,120310105022
107761,71501,120310105022,120310105022
107761,71502,120310105022,120310105022
107761,71503,120310105022,120310105022
107761,71504,120310105022,120310105022
107761,71505,120310105022,120310105022
107761,71632,120310102031,120310102031
107761,71633,120310102031,120310102031
107761,71634,120310102031,120310102031
107761,71635,120310102031,120310102031
107761,71636,120310102031,120310102031
107761,71637,120310102031,120310102031
107761,71638,120310102031,120310102031
107761,71639,120310102031,120310102031
107761,71640,120310102034,120310102034
107761,71641,120310102034,120310102034
107761,71642,120310102034,120310102034
107761,71650,120310101042,120310101042
107761,71651,120310101042,120310101042
107761,71652,120310101042,120310101042
107761,71653,120310101042,120310101042
107761,71654,120310101042,120310101042
107762,71482,120310106021,120310106021
107762,71483,120310106021,120310106021
107762,71484,120310106021,120310106021
107762,71485,120310106021,120310106021
107762,71494,120310105022,120310105022
107762,71495,120310105022,120310105022
107762,71496,120310105022,120310105022
