y_tile,x_tile
104421,44779
104421,44780
104422,44778
104422,44779
104422,44780
104422,44781
104422,44782
104423,44777
104423,44778
104423,44779
104423,44780
104423,44781
104423,44782
104423,44783
104424,44776
104424,44777
104424,44778
104424,44779
104424,44780
104424,44781
104424,44782
104424,44783
104424,44784
104424,44785
104425,44775
104425,44776
104425,44777
104425,44778
104425,44779
104425,44780
104425,44781
104425,44782
104425,44783
104425,44784
104425,44785
104425,44786
104426,44774
104426,44775
104426,44776
104426,44777
104426,44778
104426,44779
104426,44780
104426,44781
104426,44782
104426,44783
104426,44784
104426,44785
104426,44786
104426,44787
104427,44772
104427,44773
104427,44774
104427,44775
104427,44776
104427,44777
104427,44778
104427,44779
104427,44780
104427,44781
104427,44782
104427,44783
104427,44784
104427,44785
104427,44786
104427,44787
104427,44788
104427,44789
104427,44790
104427,44791
104427,44792
104427,44793
104427,44794
104427,44795
104427,44796
104427,44797
104427,44798
104427,44799
104427,44800
104427,44801
104427,44802
104427,44803
104427,44804
104427,44805
104427,44806
104427,44807
104427,44808
104427,44809
104427,44810
104427,44811
104427,44812
104427,44813
104427,44814
104427,44815
104427,44816
104427,44817
104427,44818
104427,44819
104427,44820
104427,44821
104427,44822
104427,44823
104427,44824
104427,44825
104427,44826
104427,44827
104427,44828
104427,44829
104427,44830
104427,44831
104427,44832
104427,44833
104427,44834
104427,44835
104427,44836
104427,44837
104427,44838
104427,44839
104427,44840
104427,44841
104427,44845
104427,44846
104427,44847
104427,44848
104427,44849
104427,44850
104428,44771
104428,44772
104428,44773
104428,44774
104428,44775
104428,44776
104428,44777
104428,44778
104428,44779
104428,44780
104428,44781
104428,44782
104428,44783
104428,44784
104428,44785
104428,44786
104428,44787
104428,44788
104428,44789
104428,44790
104428,44791
104428,44792
104428,44793
104428,44794
104428,44795
104428,44796
104428,44797
104428,44798
104428,44799
104428,44800
104428,44801
104428,44802
104428,44803
104428,44804
104428,44805
104428,44806
104428,44807
104428,44808
104428,44809
104428,44810
104428,44811
104428,44812
104428,44813
104428,44814
104428,44815
104428,44816
104428,44817
104428,44818
104428,44819
104428,44820
104428,44821
104428,44822
104428,44823
104428,44824
104428,44825
104428,44826
104428,44827
104428,44828
104428,44829
104428,44830
104428,44831
104428,44832
104428,44833
104428,44834
104428,44835
104428,44836
104428,44837
104428,44838
104428,44839
104428,44840
104428,44841
104428,44842
104428,44845
104428,44846
104428,44847
104428,44848
104428,44849
104428,44850
104428,44851
104429,44770
104429,44771
104429,44772
104429,44773
104429,44774
104429,44775
104429,44776
104429,44777
104429,44778
104429,44779
104429,44780
104429,44781
104429,44782
104429,44783
104429,44784
104429,44785
104429,44786
104429,44787
104429,44788
104429,44789
104429,44790
104429,44791
104429,44792
104429,44793
104429,44794
104429,44795
104429,44796
104429,44797
104429,44798
104429,44799
104429,44800
104429,44801
104429,44802
104429,44803
104429,44804
104429,44805
104429,44806
104429,44807
104429,44808
104429,44809
104429,44810
104429,44811
104429,44812
104429,44813
104429,44814
104429,44815
104429,44816
104429,44817
104429,44818
104429,44819
104429,44820
104429,44821
104429,44822
104429,44823
104429,44824
104429,44825
104429,44826
104429,44827
104429,44828
104429,44829
104429,44830
104429,44831
104429,44832
104429,44833
104429,44834
104429,44835
104429,44836
104429,44837
104429,44838
104429,44839
104429,44840
104429,44841
104429,44842
104429,44845
104429,44846
104429,44847
104429,44848
104429,44849
104429,44850
104429,44851
104429,44852
104430,44769
104430,44770
104430,44771
104430,44772
104430,44773
104430,44774
104430,44775
104430,44776
104430,44777
104430,44778
104430,44779
104430,44780
104430,44781
104430,44782
104430,44783
104430,44784
104430,44785
