y_tile,x_tile,CBG Code
104422,44779,60371065103
104422,44780,60371065103
104422,44781,60371065103
104423,44778,60371065103
104423,44779,60371065103
104423,44780,60371065103
104423,44781,60371065103
104423,44782,60371065103
104424,44777,60371065103
104424,44778,60371065103
104424,44779,60371065103
104424,44780,60371065103
104424,44781,60371065103
104424,44782,60371065103
104424,44783,60371065103
104425,44776,60371066031
104425,44777,60371066031
104425,44778,60371065103
104425,44779,60371065103
104425,44780,60371065103
104425,44781,60371065103
104425,44782,60371065103
104426,44775,60371066031
104426,44776,60371066031
104426,44777,60371066031
104427,44773,60371066031
104427,44774,60371066031
104427,44775,60371066031
104427,44776,60371066031
104427,44777,60371066031
104427,44778,60371066031
104428,44772,60371066031
104428,44773,60371066031
104428,44774,60371066031
104428,44775,60371066031
104428,44776,60371066031
104428,44777,60371066031
104428,44778,60371066031
104428,44806,60371064061
104428,44807,60371064061
104428,44808,60371064061
104428,44809,60371064061
104428,44810,60371064061
104428,44811,60371064061
104428,44812,60371064061
104428,44813,60371060101
104428,44814,60371060101
104428,44815,60371060101
104428,44816,60371060101
104428,44817,60371060101
104428,44818,60371060101
104428,44819,60371060101
104428,44820,60371060101
104428,44821,60371060101
104428,44822,60371060101
104428,44823,60371060102
104428,44824,60371060102
104428,44825,60371060102
104428,44826,60371060102
104428,44827,60371060102
104428,44828,60371060102
104428,44829,60371060102
104428,44830,60371060102
104428,44831,60371060102
104428,44832,60371060102
104428,44833,60371060102
104428,44846,60371061112
104428,44847,60371061112
104428,44848,60371061112
104428,44849,60371061112
104428,44850,60371061112
104428,44851,60371061112
104429,44771,60371066031
104429,44772,60371066031
104429,44806,60371064061
104429,44807,60371064061
104429,44808,60371064061
104429,44809,60371064061
104429,44810,60371064061
104429,44811,60371064061
104429,44812,60371064061
104429,44813,60371060101
104429,44814,60371060101
104429,44815,60371060101
104429,44816,60371060101
104429,44817,60371060101
104429,44818,60371060101
104429,44819,60371060101
104429,44820,60371060101
104429,44821,60371060101
104429,44822,60371060101
104429,44823,60371060102
104429,44824,60371060102
104429,44825,60371060102
104429,44826,60371060102
104429,44827,60371060102
104429,44828,60371060102
104429,44829,60371060102
104429,44830,60371060102
104429,44831,60371060102
104429,44846,60371061112
104429,44847,60371061112
104429,44848,60371061112
104429,44849,60371061112
104429,44850,60371061112
104429,44851,60371061112
104430,44805,60371064061
104430,44806,60371064061
104430,44807,60371064061
104430,44808,60371064061
104430,44809,60371064061
104430,44810,60371064061
104430,44846,60371061112
104430,44847,60371061112
104430,44848,60371061112
104430,44849,60371061112
104430,44850,60371061112
104430,44851,60371061112
104431,44847,60371061112
104431,44848,60371061112
104434,44797,60371065101
104434,44798,60371065101
104434,44799,60371065101
104434,44800,60371065101
104434,44801,60371065101
104434,44802,60371065101
104434,44803,60371065101
104434,44804,60371065101
104434,44805,60371065102
104434,44832,60371060201
104434,44833,60371060201
104435,44795,60371065101
104435,44796,60371065101
104435,44797,60371065101
104435,44798,60371065101
104435,44799,60371065101
104435,44800,60371065101
104435,44801,60371065101
104435,44802,60371065101
104435,44803,60371065101
104435,44804,60371065101
104435,44805,60371065102
104435,44806,60371065102
104435,44831,60371060201
104435,44832,60371060201
104435,44833,60371060201
104435,44834,60371060201
104435,44852,60371061111
104436,44764,60371066032
104436,44785,60379800221
104436,44786,60379800221
104436,44795,60371065101
104436,44796,60371065101
104436,44804,60371065102
104436,44805,60371065102
104436,44806,60371065102
104436,44807,60371065102
104436,44830,60371060201
104436,44831,60371060201
104436,44832,60371060201
104436,44833,60371060201
104436,44834,60371060201
104436,44835,60371060201
104436,44844,60371061111
104436,44845,60371061111
104436,44846,60371061111
104436,44847,60371061111
104436,44849,60371061111
104436,44851,60371061111
104436,44852,60371061111
104436,44853,60371061111
104437,44763,60371066032
104437,44764,60371066032
104437,44765,60371066032
104437,44766,60371066032
104437,44785,60379800221
104437,44786,60379800221
104437,44787,60379800221
104437,44800,60371065102
104437,44803,60371065102
104437,44804,60371065102
104437,44805,60371065102
104437,44806,60371065102
104437,44807,60371065102
104437,44808,60371065102
104437,44829,60371060201
104437,44830,60371060201
104437,44831,60371060201
104437,44832,60371060201
104437,44833,60371060201
104437,44834,60371060201
104437,44835,60371060201
104437,44836,60371060201
104437,44843,60371061111
104437,44844,60371061111
104437,44845,60371061111
104437,44846,60371061111
104437,44847,60371061111
104437,44848,60371061111
104437,44849,60371061111
104437,44850,60371061111
104437,44851,60371061111
104437,44852,60371061111
104437,44853,60371061111
104438,44761,60371066032
104438,44762,60371066032
104438,44763,60371066032
104438,44764,60371066032
104438,44765,60371066032
104438,44766,60371066032
104438,44767,60371066032
104438,44768,60371066032
104438,44785,60379800221
104438,44786,60379800221
104438,44787,60379800221
104438,44788,60379800221
104438,44800,60371065102
104438,44801,60371065102
104438,44802,60371065102
104438,44803,60371065102
104438,44804,60371065102
104438,44805,60371065102
104438,44809,60371065202
104439,44749,60371066032
104439,44750,60371066032
104439,44760,60371066032
104439,44761,60371066032
104439,44762,60371066032
104439,44763,60371066032
104439,44764,60371066032
104439,44784,60379800221
104439,44785,60379800221
104439,44786,60379800221
104439,44787,60379800221
104439,44788,60379800221
104439,44789,60379800221
104439,44808,60371065202
104439,44809,60371065202
104439,44810,60371065202
104440,44784,60379800221
104440,44785,60379800221
104440,44786,60379800221
104440,44787,60379800221
104440,44788,60379800221
104440,44807,60371065202
104440,44808,60371065202
104440,44809,60371065202
104440,44810,60371065202
104440,44811,60371065202
104441,44791,60371066042
104441,44792,60371066042
104441,44806,60371065202
104441,44807,60371065202
104441,44808,60371065202
104441,44809,60371065202
104441,44810,60371065202
104441,44835,60371061131
104441,44854,60371061123
104442,44791,60371066042
104442,44792,60371066042
104442,44793,60371066042
104442,44794,60371066042
104442,44795,60371066042
104442,44796,60371066042
104442,44797,60371066042
104442,44805,60371065202
104442,44806,60371065202
104442,44807,60371065202
104442,44808,60371065202
104442,44809,60371065202
104442,44834,60371061131
104442,44835,60371061131
104442,44836,60371061131
104442,44852,60371061123
104442,44853,60371061123
104442,44854,60371061123
104443,44792,60371066042
104443,44793,60371066042
104443,44794,60371066042
104443,44795,60371066042
104443,44796,60371066042
104443,44797,60371066042
104443,44798,60371066042
104443,44799,60371066042
104443,44800,60371066042
104443,44804,60371065202
104443,44833,60371061131
104443,44834,60371061131
104443,44835,60371061131
104443,44836,60371061131
104443,44837,60371061131
104443,44851,60371061123
104443,44852,60371061123
104443,44853,60371061123
104443,44854,60371061123
104444,44793,60371066042
104444,44794,60371066042
104444,44832,60371061131
104444,44833,60371061131
104444,44834,60371061131
104444,44835,60371061131
104444,44836,60371061131
104444,44837,60371061131
104444,44838,60371061131
104444,44851,60371061123
104444,44852,60371061123
104444,44853,60371061123
104444,44854,60371061123
104445,44833,60371061131
104445,44834,60371061131
104445,44835,60371061131
104445,44836,60371061131
104445,44850,60371061123
104445,44851,60371061123
104445,44852,60371061123
104445,44853,60371061123
104445,44854,60371061123
104446,44846,60371061123
104446,44847,60371061123
104446,44848,60371061123
104450,44782,60371066452
104451,44720,60371082022
104451,44721,60371082022
104451,44779,60371066411
104451,44780,60371066411
104451,44781,60371066411
104451,44782,60371066452
104451,44783,60371066452
104451,44784,60371066452
104452,44719,60371082022
104452,44720,60371082022
104452,44721,60371082022
104452,44722,60371082022
104452,44723,60371082022
104452,44771,60371066411
104452,44772,60371066411
104452,44773,60371066411
104452,44774,60371066411
104452,44776,60371066411
104452,44778,60371066411
104452,44779,60371066411
104452,44780,60371066411
104452,44781,60371066411
104452,44782,60371066452
104452,44783,60371066452
104452,44784,60371066452
104453,44718,60371082022
104453,44719,60371082022
104453,44720,60371082022
104453,44721,60371082022
104453,44722,60371082022
104453,44723,60371082022
104453,44724,60371082022
104453,44725,60371082022
104453,44767,60371066431
104453,44768,60371066431
104453,44769,60371066431
104453,44770,60371066431
104453,44771,60371066411
104453,44772,60371066411
104453,44773,60371066411
104453,44774,60371066411
104453,44775,60371066411
104453,44776,60371066411
104453,44777,60371066411
104453,44778,60371066411
104453,44781,60371066452
104453,44782,60371066452
104453,44783,60371066452
104453,44784,60371066452
104453,44785,60371066452
104454,44718,60371082022
104454,44719,60371082022
104454,44720,60371082022
104454,44721,60371082022
104454,44722,60371082022
104454,44765,60371066431
104454,44766,60371066431
104454,44767,60371066431
104454,44768,60371066431
104454,44769,60371066431
104454,44770,60371066431
104454,44771,60371066431
104454,44772,60371066431
104454,44781,60371066452
104454,44782,60371066452
104454,44783,60371066452
104454,44784,60371066452
104454,44785,60371066452
104454,44786,60371066452
104455,44738,60371082031
104455,44739,60371082031
104455,44740,60371082031
104455,44741,60371082031
104455,44752,60371081041
104455,44763,60371066431
104455,44764,60371066431
104455,44765,60371066431
104455,44766,60371066431
104455,44767,60371066431
104455,44768,60371066431
104455,44769,60371066431
104455,44770,60371066431
104455,44781,60371066452
104455,44782,60371066452
104455,44860,60371042042
104455,44861,60371042042
104455,44862,60371042042
104455,44863,60371042042
104455,44864,60371042042
104456,44736,60371082031
104456,44737,60371082031
104456,44738,60371082031
104456,44739,60371082031
104456,44740,60371082031
104456,44741,60371082031
104456,44742,60371082031
104456,44748,60371081041
104456,44749,60371081041
104456,44750,60371081041
104456,44751,60371081041
104456,44752,60371081041
104456,44753,60371081041
104456,44860,60371042042
104456,44861,60371042042
104456,44862,60371042042
104456,44863,60371042042
104456,44864,60371042042
104457,44735,60371082031
104457,44736,60371082031
104457,44737,60371082031
104457,44738,60371082031
104457,44739,60371082031
104457,44740,60371082031
104457,44741,60371082031
104457,44742,60371082031
104457,44743,60371082031
104457,44746,60371081041
104457,44747,60371081041
104457,44748,60371081041
104457,44749,60371081041
104457,44750,60371081041
104457,44751,60371081041
104457,44752,60371081041
104457,44753,60371081031
104457,44762,60371066432
104457,44763,60371066432
104457,44858,60371042042
104457,44859,60371042042
104457,44860,60371042042
104457,44861,60371042042
104457,44862,60371042042
104457,44863,60371042042
104457,44864,60371042042
104457,44865,60371042042
104457,44866,60371042042
104457,44867,60371042042
104458,44745,60371081041
104458,44746,60371081041
104458,44747,60371081041
104458,44748,60371081041
104458,44749,60371081041
104458,44750,60371081041
104458,44753,60371081031
104458,44754,60371081031
104458,44762,60371066432
104458,44763,60371066432
104458,44764,60371066432
104458,44765,60371066432
104459,44754,60371081031
104459,44755,60371081031
104459,44762,60371066432
104459,44763,60371066432
104459,44764,60371066432
104459,44765,60371066432
104459,44766,60371066432
104459,44767,60371066432
104460,44731,60371082041
104460,44742,60371081032
104460,44754,60371081031
104460,44755,60371081031
104460,44756,60371081031
104460,44758,60371066433
104460,44761,60371066432
104460,44762,60371066432
104460,44763,60371066432
