y_tile,x_tile,CBG Code
98367,77245,360050309000
98367,77246,360050309000
98367,77247,360050309000
98368,77245,360050309000
98368,77246,360050309000
98368,77247,360050309000
98368,77248,360050309000
98368,77249,360050309000
98368,77250,360050309000
98369,77245,360050309000
98369,77246,360050309000
98369,77247,360050309000
98369,77248,360050309000
98369,77249,360050309000
98369,77250,360050309000
98369,77251,360050309001
98369,77252,360050309001
98369,77253,360050309001
98370,77244,360050309000
98370,77245,360050309000
98370,77246,360050309000
98370,77247,360050309000
98370,77248,360050309000
98370,77251,360050309001
98370,77252,360050309001
98370,77253,360050309001
98370,77254,360050309001
98370,77262,360050435031
98371,77250,360050309001
98371,77251,360050309001
98371,77252,360050309001
98371,77253,360050309001
98371,77262,360050435031
98371,77263,360050435031
98371,77264,360050435031
98372,77250,360050309001
98372,77251,360050309001
98372,77252,360050309001
98372,77253,360050309001
98372,77262,360050435031
98372,77263,360050435031
98372,77264,360050435031
98372,77265,360050435031
98372,77266,360050435031
98372,77267,360050435031
98373,77250,360050309001
98373,77251,360050309001
98373,77252,360050309001
98373,77262,360050435031
98373,77263,360050435031
98373,77264,360050435031
98373,77265,360050435031
98373,77266,360050435031
98373,77267,360050435031
98373,77268,360050435031
98373,77269,360050435031
98373,77270,360050435031
98374,77250,360050309001
98374,77251,360050309001
98374,77262,360050435031
98378,77250,360050309002
98378,77251,360050309002
98379,77250,360050309002
98379,77251,360050309002
98380,77250,360050309002
98380,77251,360050309002
98381,77249,360050309002
98381,77250,360050309002
98381,77251,360050309002
98382,77249,360050309002
98382,77250,360050309002
98382,77251,360050309002
98383,77249,360050309002
98383,77250,360050309002
98384,77249,360050309002
98384,77250,360050309002
98384,77280,360050435021
98384,77281,360050435021
98385,77248,360050309002
98385,77249,360050309002
98385,77250,360050309002
98385,77251,360050309002
98385,77275,360050435021
98385,77276,360050435021
98385,77277,360050435021
98385,77278,360050435021
98385,77279,360050435021
98385,77280,360050435021
98385,77281,360050435021
98385,77282,360050435021
98385,77283,360050435021
98385,77284,360050435021
98385,77285,360050435021
98386,77274,360050435021
98386,77275,360050435021
98386,77276,360050435021
98386,77277,360050435021
98386,77278,360050435021
98386,77279,360050435021
98386,77280,360050435021
98391,77238,360050293010
98391,77239,360050293010
98392,77238,360050293010
98392,77239,360050293010
98392,77240,360050293010
98392,77241,360050293010
98393,77237,360050293010
98393,77238,360050293010
98393,77239,360050293010
98393,77240,360050293010
98393,77241,360050293010
98393,77242,360050293010
98393,77243,360050293010
98394,77237,360050293010
98394,77238,360050293010
98394,77239,360050293010
98394,77240,360050293010
98394,77241,360050293010
98394,77242,360050293010
98394,77243,360050293010
98394,77316,360050462033
98394,77319,360050504001
98394,77320,360050504001
98394,77321,360050504001
98394,77322,360050504001
98394,77323,360050504001
98394,77324,360050504001
98394,77325,360050504001
98395,77314,360050462033
98395,77315,360050462033
98395,77316,360050462033
98395,77317,360050462033
98395,77318,360050504001
98395,77319,360050504001
98395,77320,360050504001
98395,77321,360050504001
