y_tile,x_tile
104789,49367
104789,49368
104789,49369
104789,49370
104789,49371
104789,49372
104789,49373
104789,49374
104789,49375
104789,49376
104789,49377
104789,49378
104789,49379
104789,49380
104789,49381
104789,49382
104789,49383
104789,49384
104789,49385
104789,49386
104789,49387
104789,49388
104789,49389
104789,49390
104789,49391
104789,49392
104789,49393
104789,49394
104789,49395
104789,49396
104789,49397
104789,49398
104789,49399
104789,49400
104789,49401
104789,49402
104789,49403
104789,49404
104789,49405
104790,49367
104790,49368
104790,49369
104790,49370
104790,49371
104790,49372
104790,49373
104790,49374
104790,49375
104790,49376
104790,49377
104790,49378
104790,49379
104790,49380
104790,49381
104790,49382
104790,49383
104790,49384
104790,49385
104790,49386
104790,49387
104790,49388
104790,49389
104790,49390
104790,49391
104790,49392
104790,49393
104790,49394
104790,49395
104790,49396
104790,49397
104790,49398
104790,49399
104790,49400
104790,49401
104790,49402
104790,49403
104790,49404
104790,49405
104791,49367
104791,49368
104791,49369
104791,49370
104791,49371
104791,49372
104791,49373
104791,49374
104791,49375
104791,49376
104791,49377
104791,49378
104791,49379
104791,49380
104791,49381
104791,49382
104791,49383
104791,49384
104791,49385
104791,49386
104791,49387
104791,49388
104791,49389
104791,49390
104791,49391
104791,49392
104791,49393
104791,49394
104791,49395
104791,49396
104791,49397
104791,49398
104791,49399
104791,49400
104791,49401
104791,49402
104791,49403
104791,49404
104791,49405
104792,49367
104792,49368
104792,49369
104792,49370
104792,49371
104792,49372
104792,49373
104792,49374
104792,49375
104792,49376
104792,49377
104792,49378
104792,49379
104792,49380
104792,49381
104792,49382
104792,49383
104792,49384
104792,49385
104792,49386
104792,49387
104792,49388
104792,49389
104792,49390
104792,49391
104792,49392
104792,49393
104792,49394
104792,49395
104792,49396
104792,49397
104792,49398
104792,49399
104792,49400
104792,49401
104792,49402
104792,49403
104792,49404
104792,49405
104793,49360
104793,49361
104793,49362
104793,49363
104793,49364
104793,49365
104793,49366
104793,49367
104793,49368
104793,49369
104793,49370
104793,49371
104793,49372
104793,49373
104793,49374
104793,49375
104793,49376
104793,49377
104793,49378
104793,49379
104793,49380
104793,49381
104793,49382
104793,49383
104793,49384
104793,49385
104793,49386
104793,49387
104793,49388
104793,49389
104793,49390
104793,49391
104793,49392
104793,49393
104793,49394
104793,49395
104793,49396
104793,49397
104793,49398
104793,49399
104793,49400
104793,49401
104793,49402
104793,49403
104793,49404
104793,49405
104793,49406
104793,49407
104793,49408
104793,49409
104794,49355
104794,49356
104794,49357
104794,49358
104794,49359
104794,49360
104794,49361
104794,49362
104794,49363
104794,49364
104794,49365
104794,49366
104794,49367
104794,49368
104794,49369
104794,49370
104794,49371
104794,49372
104794,49373
104794,49374
104794,49375
104794,49376
104794,49377
104794,49378
104794,49379
104794,49380
104794,49381
104794,49382
104794,49383
104794,49384
104794,49385
104794,49386
104794,49387
104794,49388
104794,49389
104794,49390
104794,49391
104794,49392
104794,49393
104794,49394
104794,49395
104794,49396
104794,49397
104794,49398
104794,49399
104794,49400
104794,49401
104794,49402
104794,49403
104794,49404
104794,49405
104794,49406
104794,49407
104794,49408
104794,49409
104795,49355
104795,49356
104795,49357
104795,49358
104795,49359
104795,49360
104795,49361
104795,49362
104795,49363
104795,49364
104795,49365
