y_tile,x_tile,CBG Code
105492,45865,60730207111
105492,45866,60730207111
105492,45867,60730207111
105492,45868,60730207111
105493,45864,60730207111
105493,45865,60730207111
105493,45866,60730207111
105493,45867,60730207111
105493,45868,60730207111
105494,45862,60730207111
105494,45863,60730207111
105494,45864,60730207111
105494,45865,60730207111
105494,45866,60730207111
105494,45867,60730207111
105494,45868,60730207111
105495,45862,60730207111
105495,45863,60730207111
105495,45864,60730207111
105495,45865,60730207111
105506,45860,60730207101
105506,45861,60730207101
105506,45862,60730207101
105506,45863,60730207101
105506,45864,60730207101
105507,45860,60730207101
105507,45861,60730207101
105507,45862,60730207101
105507,45863,60730207101
105507,45864,60730207101
105507,45865,60730207101
105508,45860,60730207101
105508,45861,60730207101
105508,45862,60730207101
105508,45863,60730207101
105508,45864,60730207101
105508,45865,60730207101
105508,45866,60730207101
105508,45867,60730207101
105508,45868,60730207101
105522,45791,60730204012
105522,45792,60730204012
105523,45790,60730204012
105523,45791,60730204012
105523,45792,60730204012
105523,45793,60730204012
105524,45789,60730204012
105524,45790,60730204012
105524,45791,60730204012
105524,45792,60730204012
105524,45793,60730204012
105524,45794,60730204012
105525,45789,60730204012
105525,45790,60730204012
105525,45791,60730204012
105525,45792,60730204012
105525,45793,60730204012
105525,45794,60730204012
105525,45795,60730204012
105526,45789,60730204012
105529,45791,60730170662
105529,45792,60730170662
105530,45790,60730170662
105530,45791,60730170662
105530,45792,60730170662
105530,45793,60730170662
105531,45790,60730170662
105531,45791,60730170662
105531,45792,60730170662
105531,45793,60730170662
105532,45790,60730170662
105532,45791,60730170662
105532,45792,60730170662
105532,45793,60730170662
105532,45794,60730170662
105533,45790,60730170662
105533,45791,60730170662
105533,45793,60730170662
105533,45794,60730170662
105534,45790,60730170662
105534,45824,60730204011
105535,45815,60730204011
105535,45816,60730204011
105535,45817,60730204011
105535,45824,60730204011
105536,45816,60730204011
105536,45817,60730204011
105536,45824,60730204011
105537,45816,60730204011
105537,45817,60730204011
105537,45818,60730204011
105537,45821,60730204011
105537,45822,60730204011
105537,45823,60730204011
105537,45824,60730204011
105538,45817,60730204011
105538,45818,60730204011
105538,45819,60730204011
105538,45820,60730204011
105538,45821,60730204011
105538,45855,60730170602
105538,45856,60730170602
105538,45857,60730170602
105539,45853,60730170602
105539,45854,60730170602
105539,45855,60730170602
105539,45856,60730170602
105539,45857,60730170602
105540,45853,60730170602
105540,45854,60730170602
105540,45855,60730170602
105540,45856,60730170602
105540,45857,60730170602
105541,45852,60730170602
105541,45853,60730170602
105541,45854,60730170602
105541,45855,60730170602
105542,45850,60730170602
105542,45851,60730170602
105542,45852,60730170602
105543,45821,60730170632
105543,45822,60730170632
105544,45820,60730170632
105544,45821,60730170632
105545,45820,60730170632
105545,45821,60730170632
105546,45820,60730170632
105546,45821,60730170632
105547,45820,60730170632
105547,45821,60730170632
105548,45821,60730170632
105548,45822,60730170582
105548,45825,60730170582
105548,45826,60730170582
105549,45822,60730170582
105549,45823,60730170582
105549,45824,60730170582
105549,45825,60730170582
105549,45826,60730170582
105549,45834,60730170601
105549,45835,60730170601
105549,45836,60730170601
105549,45839,60730170601
105550,45822,60730170582
105550,45823,60730170582
105550,45824,60730170582
105550,45825,60730170582
105550,45826,60730170582
105550,45827,60730170582
105550,45834,60730170601
105550,45835,60730170601
105550,45836,60730170601
105550,45837,60730170601
105550,45838,60730170601
105550,45839,60730170601
105550,45840,60730170601
105550,45841,60730170601
105550,45842,60730170601
105551,45822,60730170582
105551,45823,60730170582
105551,45824,60730170582
105551,45825,60730170582
105551,45826,60730170582
105551,45827,60730170582
105551,45834,60730170601
105551,45835,60730170601
105551,45836,60730170601
105551,45837,60730170601
105551,45838,60730170601
105551,45839,60730170601
105551,45840,60730170601
105552,45821,60730170632
105553,45812,60730170633
105553,45820,60730170632
105553,45821,60730170632
105553,45827,60730170573
105554,45812,60730170633
105554,45813,60730170633
105554,45814,60730170633
105554,45815,60730170633
105554,45819,60730170632
105554,45820,60730170632
105554,45823,60730170573
105554,45824,60730170573
105554,45825,60730170573
105554,45826,60730170573
105554,45827,60730170573
105554,45828,60730170573
105554,45829,60730170571
105555,45812,60730170633
105555,45813,60730170633
105555,45814,60730170633
105555,45815,60730170631
105555,45816,60730170631
105555,45819,60730170632
105555,45820,60730170632
105555,45822,60730170573
105555,45823,60730170573
105555,45824,60730170573
105555,45825,60730170573
105555,45826,60730170573
105555,45827,60730170573
105555,45828,60730170571
105555,45829,60730170571
105555,45830,60730170571
105556,45812,60730170633
105556,45813,60730170633
105556,45814,60730170631
