y_tile,x_tile
98364,77246
98364,77247
98364,77248
98365,77245
98365,77246
98365,77247
98365,77248
98365,77249
98365,77250
98365,77251
98366,77245
98366,77246
98366,77247
98366,77248
98366,77249
98366,77250
98366,77251
98366,77252
98366,77253
98367,77245
98367,77246
98367,77247
98367,77248
98367,77249
98367,77250
98367,77251
98367,77252
98367,77253
98367,77254
98367,77255
98367,77256
98368,77244
98368,77245
98368,77246
98368,77247
98368,77248
98368,77249
98368,77250
98368,77251
98368,77252
98368,77253
98368,77254
98368,77255
98368,77256
98368,77257
98368,77258
98369,77244
98369,77245
98369,77246
98369,77247
98369,77248
98369,77249
98369,77250
98369,77251
98369,77252
98369,77253
98369,77254
98369,77255
98369,77256
98369,77257
98369,77258
98369,77259
98369,77260
98369,77261
98370,77244
98370,77245
98370,77246
98370,77247
98370,77248
98370,77249
98370,77250
98370,77251
98370,77252
98370,77253
98370,77254
98370,77255
98370,77256
98370,77257
98370,77258
98370,77259
98370,77260
98370,77261
98370,77262
98370,77263
98370,77264
98371,77243
98371,77244
98371,77245
98371,77246
98371,77247
98371,77248
98371,77249
98371,77250
98371,77251
98371,77252
98371,77253
98371,77254
98371,77255
98371,77256
98371,77257
98371,77258
98371,77259
98371,77260
98371,77261
98371,77262
98371,77263
98371,77264
98371,77265
98371,77266
98371,77293
98371,77294
98371,77295
98372,77243
98372,77244
98372,77245
98372,77246
98372,77247
98372,77248
98372,77249
98372,77250
98372,77251
98372,77252
98372,77253
98372,77254
98372,77255
98372,77256
98372,77257
98372,77258
98372,77259
98372,77260
98372,77261
98372,77262
98372,77263
98372,77264
98372,77265
98372,77266
98372,77267
98372,77268
98372,77269
98372,77292
98372,77293
98372,77294
98373,77243
98373,77244
98373,77245
98373,77246
98373,77247
98373,77248
98373,77249
98373,77250
98373,77251
98373,77252
98373,77253
98373,77254
98373,77255
98373,77256
98373,77257
98373,77258
98373,77259
98373,77260
98373,77261
98373,77262
98373,77263
98373,77264
98373,77265
98373,77266
98373,77267
98373,77268
98373,77269
98373,77270
98373,77271
98373,77272
98373,77292
98373,77293
98373,77294
98373,77295
98373,77296
98374,77243
98374,77244
98374,77245
98374,77246
98374,77247
98374,77248
98374,77249
98374,77250
98374,77251
98374,77252
98374,77253
98374,77254
98374,77255
98374,77256
98374,77257
98374,77258
98374,77259
98374,77260
98374,77261
98374,77262
98374,77263
98374,77264
98374,77265
98374,77266
98374,77267
98374,77268
98374,77269
98374,77270
98374,77271
98374,77272
98374,77273
98374,77274
98374,77292
98374,77293
98374,77294
98374,77295
98374,77296
98374,77297
98374,77298
98375,77242
98375,77243
98375,77244
98375,77245
98375,77246
98375,77247
98375,77248
98375,77249
98375,77250
98375,77251
98375,77252
98375,77253
98375,77254
98375,77255
98375,77256
98375,77257
98375,77258
98375,77259
98375,77260
98375,77261
98375,77262
98375,77263
98375,77264
98375,77265
98375,77266
98375,77267
98375,77268
98375,77269
98375,77270
98375,77271
98375,77272
98375,77273
98375,77274
98375,77275
98375,77276
98375,77277
98375,77291
98375,77292
98375,77293
98375,77294
98375,77295
98375,77296
98375,77297
98375,77298
98375,77299
98376,77242
98376,77243
98376,77244
98376,77245
98376,77246
98376,77247
98376,77248
98376,77249
98376,77250
98376,77251
98376,77252
98376,77253
98376,77254
98376,77255
98376,77256
98376,77257
98376,77258
98376,77259
98376,77260
98376,77261
98376,77262
98376,77263
98376,77264
98376,77265
98376,77266
98376,77267
98376,77268
98376,77269
98376,77270
98376,77271
98376,77272
98376,77273
98376,77274
98376,77275
98376,77276
98376,77277
98376,77278
98376,77279
98376,77280
98376,77290
98376,77291
98376,77292
98376,77293
98376,77294
98376,77295
98376,77296
98376,77297
98376,77298
98376,77299
98376,77300
98376,77302
98377,77242
98377,77243
98377,77244
98377,77245
98377,77246
98377,77247
98377,77248
98377,77249
98377,77250
98377,77251
98377,77252
98377,77253
98377,77254
98377,77255
98377,77256
98377,77257
98377,77258
98377,77259
98377,77260
98377,77261
98377,77262
98377,77263
98377,77264
98377,77265
98377,77266
98377,77267
98377,77268
98377,77269
98377,77270
98377,77271
98377,77272
98377,77273
98377,77274
98377,77275
98377,77276
98377,77277
98377,77278
98377,77279
98377,77280
98377,77281
98377,77282
98377,77290
98377,77291
98377,77292
98377,77293
98377,77294
98377,77295
98377,77296
98377,77297
98377,77298
98377,77299
98377,77300
98377,77301
98377,77302
98378,77241
98378,77242
98378,77243
98378,77244
98378,77245
98378,77246
98378,77247
98378,77248
98378,77249
98378,77250
98378,77251
98378,77252
98378,77253
98378,77254
98378,77255
98378,77256
98378,77257
98378,77258
98378,77259
98378,77260
98378,77261
98378,77262
98378,77263
98378,77264
98378,77265
98378,77266
98378,77267
98378,77268
98378,77269
98378,77270
98378,77271
98378,77272
98378,77273
98378,77274
98378,77275
98378,77276
98378,77277
98378,77278
98378,77279
98378,77280
98378,77281
98378,77282
98378,77283
98378,77284
98378,77289
98378,77290
98378,77291
98378,77292
98378,77293
98378,77294
98378,77295
98378,77296
98378,77297
98378,77298
98378,77299
98378,77300
98378,77301
98378,77302
98379,77241
98379,77242
98379,77243
98379,77244
98379,77245
98379,77246
98379,77247
98379,77248
98379,77249
98379,77250
98379,77251
98379,77252
98379,77253
98379,77254
98379,77255
98379,77256
98379,77257
98379,77258
98379,77259
98379,77260
98379,77261
98379,77262
98379,77263
98379,77264
98379,77265
98379,77266
98379,77267
98379,77268
98379,77269
98379,77270
98379,77271
98379,77272
98379,77273
98379,77274
98379,77275
98379,77276
98379,77277
98379,77278
98379,77279
98379,77280
98379,77281
98379,77282
98379,77283
98379,77284
98379,77285
98379,77286
98379,77287
98379,77289
98379,77290
98379,77291
98379,77292
98379,77293
98379,77294
98379,77295
98379,77296
98379,77297
98379,77298
98379,77299
98379,77300
98379,77301
98379,77302
98379,77303
98380,77241
98380,77242
98380,77243
98380,77244
98380,77245
98380,77246
98380,77247
98380,77248
98380,77249
98380,77250
98380,77251
98380,77252
98380,77253
98380,77254
98380,77255
98380,77256
98380,77257
98380,77258
98380,77259
98380,77260
98380,77261
98380,77262
98380,77263
98380,77264
98380,77265
98380,77266
98380,77267
98380,77268
98380,77269
98380,77270
98380,77271
98380,77272
98380,77273
98380,77274
98380,77275
98380,77276
98380,77277
98380,77278
98380,77279
98380,77280
98380,77281
98380,77282
98380,77283
98380,77284
98380,77285
98380,77286
98380,77287
98380,77288
98380,77289
98380,77290
98380,77291
98380,77292
98380,77293
98380,77294
98380,77295
98380,77296
98380,77297
98380,77298
98380,77299
98380,77300
98380,77301
98380,77302
98380,77303
98381,77240
98381,77241
98381,77242
98381,77243
98381,77244
98381,77245
98381,77246
98381,77247
98381,77248
98381,77249
98381,77250
98381,77251
98381,77252
98381,77253
98381,77254
98381,77255
98381,77256
98381,77257
98381,77258
98381,77259
98381,77260
98381,77261
98381,77262
98381,77263
98381,77264
98381,77265
98381,77266
98381,77267
98381,77268
98381,77269
98381,77270
98381,77271
98381,77272
98381,77273
98381,77274
98381,77275
98381,77276
98381,77277
98381,77278
98381,77279
98381,77280
98381,77281
98381,77282
98381,77283
98381,77284
98381,77285
98381,77286
98381,77287
98381,77288
98381,77289
98381,77290
98381,77291
98381,77292
98381,77293
98381,77294
98381,77295
98381,77296
98381,77297
98381,77298
98381,77299
98381,77300
98381,77301
98381,77302
98381,77303
98382,77240
98382,77241
98382,77242
98382,77243
98382,77244
98382,77245
98382,77246
98382,77247
98382,77248
98382,77249
98382,77250
98382,77251
98382,77252
98382,77253
98382,77254
98382,77255
98382,77256
98382,77257
98382,77258
98382,77259
98382,77260
98382,77261
98382,77262
98382,77263
98382,77264
98382,77265
98382,77266
98382,77267
98382,77268
98382,77269
98382,77270
98382,77271
98382,77272
98382,77273
98382,77274
98382,77275
98382,77276
98382,77277
98382,77278
98382,77279
98382,77280
98382,77281
98382,77282
98382,77283
98382,77284
98382,77285
98382,77286
98382,77287
98382,77288
98382,77289
98382,77290
98382,77291
98382,77292
98382,77293
98382,77294
98382,77295
98382,77296
98382,77297
98382,77298
98382,77299
98382,77300
98382,77301
98382,77302
98382,77303
98383,77240
98383,77241
98383,77242
98383,77243
98383,77244
98383,77245
98383,77246
98383,77247
98383,77248
98383,77249
98383,77250
98383,77251
98383,77252
98383,77253
98383,77254
98383,77255
98383,77256
98383,77257
98383,77258
98383,77259
98383,77260
98383,77261
98383,77262
98383,77263
98383,77264
98383,77265
98383,77266
98383,77267
98383,77268
98383,77269
98383,77270
98383,77271
98383,77272
98383,77273
98383,77274
98383,77275
98383,77276
98383,77277
98383,77278
98383,77279
98383,77280
98383,77281
98383,77282
98383,77283
98383,77284
98383,77285
98383,77286
98383,77287
98383,77288
98383,77289
98383,77290
98383,77291
98383,77292
98383,77293
98383,77294
98383,77295
98383,77296
98383,77297
98383,77298
98383,77299
98383,77300
98383,77301
98383,77302
98383,77303
98384,77240
98384,77241
98384,77242
98384,77243
98384,77244
98384,77245
98384,77246
98384,77247
98384,77248
98384,77249
98384,77250
98384,77251
98384,77252
98384,77253
98384,77254
98384,77255
98384,77256
98384,77257
98384,77258
98384,77259
98384,77260
98384,77261
98384,77262
98384,77263
98384,77264
98384,77265
98384,77266
98384,77267
98384,77268
98384,77269
98384,77270
98384,77271
98384,77272
98384,77273
98384,77274
98384,77275
98384,77276
98384,77277
98384,77278
98384,77279
98384,77280
98384,77281
98384,77282
98384,77283
98384,77284
98384,77285
98384,77286
98384,77287
98384,77288
98384,77289
98384,77290
98384,77291
98384,77292
98384,77293
98384,77294
98384,77295
98384,77296
98384,77297
98384,77298
98384,77299
98384,77300
98384,77301
98384,77302
98384,77303
98384,77304
98385,77239
98385,77240
98385,77241
98385,77242
98385,77243
98385,77244
98385,77245
98385,77246
98385,77247
98385,77248
98385,77249
98385,77250
98385,77251
98385,77252
98385,77253
98385,77254
98385,77255
98385,77256
98385,77257
98385,77258
98385,77259
98385,77260
98385,77261
98385,77262
98385,77263
98385,77264
98385,77265
98385,77266
98385,77267
98385,77268
98385,77269
98385,77270
98385,77271
98385,77272
98385,77273
98385,77274
98385,77275
98385,77276
98385,77277
98385,77278
98385,77279
98385,77280
98385,77281
98385,77282
98385,77283
98385,77284
98385,77285
98385,77286
98385,77287
98385,77288
98385,77289
98385,77290
98385,77291
98385,77292
98385,77293
98385,77294
98385,77295
98385,77296
98385,77297
98385,77298
98385,77299
98385,77300
98385,77301
98385,77302
98385,77303
98385,77304
98386,77239
98386,77240
98386,77241
98386,77242
98386,77243
98386,77244
98386,77245
98386,77246
98386,77247
98386,77248
98386,77249
98386,77250
98386,77251
98386,77252
98386,77253
98386,77254
98386,77255
98386,77256
98386,77257
98386,77258
98386,77259
98386,77260
98386,77261
98386,77262
98386,77263
98386,77264
98386,77265
98386,77266
98386,77267
98386,77268
98386,77269
98386,77270
98386,77271
98386,77272
98386,77273
98386,77274
98386,77275
98386,77276
98386,77277
98386,77278
98386,77279
98386,77280
98386,77281
98386,77282
98386,77283
98386,77284
98386,77285
98386,77286
98386,77287
98386,77288
98386,77289
98386,77290
98386,77291
98386,77292
98386,77293
98386,77294
98386,77295
98386,77296
98386,77297
98386,77298
98386,77299
98386,77300
98386,77301
98386,77302
98386,77303
98386,77304
98386,77305
98387,77239
98387,77240
98387,77241
98387,77242
98387,77243
98387,77244
98387,77245
98387,77246
98387,77247
98387,77248
98387,77249
98387,77250
98387,77251
98387,77252
98387,77253
98387,77254
98387,77255
98387,77256
98387,77257
98387,77258
98387,77259
98387,77260
98387,77261
98387,77262
98387,77263
98387,77264
98387,77265
98387,77266
98387,77267
98387,77268
98387,77269
98387,77270
98387,77271
98387,77272
98387,77273
98387,77274
98387,77275
98387,77276
98387,77277
98387,77278
98387,77279
98387,77280
98387,77281
98387,77282
98387,77283
98387,77284
98387,77285
98387,77286
98387,77287
98387,77288
98387,77289
98387,77290
98387,77291
98387,77292
98387,77293
98387,77294
98387,77295
98387,77296
98387,77297
98387,77298
98387,77299
98387,77300
98387,77301
98387,77302
98387,77303
98387,77304
98387,77305
98387,77306
98387,77307
98388,77238
98388,77239
98388,77240
98388,77241
98388,77242
98388,77243
98388,77244
98388,77245
98388,77246
98388,77247
98388,77248
98388,77249
98388,77250
98388,77251
98388,77252
98388,77253
98388,77254
98388,77255
98388,77256
98388,77257
98388,77258
98388,77259
98388,77260
98388,77261
98388,77262
98388,77263
98388,77264
98388,77265
98388,77266
98388,77267
98388,77268
98388,77269
98388,77270
98388,77271
98388,77272
98388,77273
98388,77274
98388,77275
98388,77276
98388,77277
98388,77278
98388,77279
98388,77280
98388,77281
98388,77282
98388,77283
98388,77284
98388,77285
98388,77286
98388,77287
98388,77288
98388,77289
98388,77290
98388,77291
98388,77292
98388,77293
98388,77294
98388,77295
98388,77296
98388,77297
98388,77298
98388,77299
98388,77300
98388,77301
98388,77302
98388,77303
98388,77304
98388,77305
98388,77306
98388,77307
98388,77308
98388,77309
98388,77310
98389,77238
98389,77239
98389,77240
98389,77241
98389,77242
98389,77243
98389,77244
98389,77245
98389,77246
98389,77247
98389,77248
98389,77249
98389,77250
98389,77251
98389,77252
98389,77253
98389,77254
98389,77255
98389,77256
98389,77257
98389,77258
98389,77259
98389,77260
98389,77261
98389,77262
98389,77263
98389,77264
98389,77265
98389,77266
98389,77267
98389,77268
98389,77269
98389,77270
98389,77271
98389,77272
98389,77273
98389,77274
98389,77275
98389,77276
98389,77277
98389,77278
98389,77279
98389,77280
98389,77281
98389,77282
98389,77283
98389,77284
98389,77285
98389,77286
98389,77287
98389,77288
98389,77289
98389,77290
98389,77291
98389,77292
98389,77293
98389,77294
98389,77295
98389,77296
98389,77297
98389,77298
98389,77299
98389,77300
98389,77301
98389,77302
98389,77303
98389,77304
98389,77305
98389,77306
98389,77307
98389,77308
98389,77309
98389,77310
98389,77311
98389,77312
98389,77315
98389,77316
98390,77238
98390,77239
98390,77240
98390,77241
98390,77242
98390,77243
98390,77244
98390,77245
98390,77246
98390,77247
98390,77248
98390,77249
98390,77250
98390,77251
98390,77252
98390,77253
98390,77254
98390,77255
98390,77256
98390,77257
98390,77258
98390,77259
98390,77260
98390,77261
98390,77262
98390,77263
98390,77264
98390,77265
98390,77266
98390,77267
98390,77268
98390,77269
98390,77270
98390,77271
98390,77272
98390,77273
98390,77274
98390,77275
98390,77276
98390,77277
98390,77278
98390,77279
98390,77280
98390,77281
98390,77282
98390,77283
98390,77284
98390,77285
98390,77286
98390,77287
98390,77288
98390,77289
98390,77290
98390,77291
98390,77292
98390,77293
98390,77294
98390,77295
98390,77296
98390,77297
98390,77298
98390,77299
98390,77300
98390,77301
98390,77302
98390,77303
98390,77304
98390,77305
98390,77306
98390,77307
98390,77308
98390,77309
98390,77310
98390,77311
98390,77312
98390,77313
98390,77314
98390,77315
98390,77316
98390,77317
98390,77318
98390,77319
98391,77237
98391,77238
98391,77239
98391,77240
98391,77241
98391,77242
98391,77243
98391,77244
98391,77245
98391,77246
98391,77247
98391,77248
98391,77249
98391,77250
98391,77251
98391,77252
98391,77253
98391,77254
98391,77255
98391,77256
98391,77257
98391,77258
98391,77259
98391,77260
98391,77261
98391,77262
98391,77263
98391,77264
98391,77265
98391,77266
98391,77267
98391,77268
98391,77269
98391,77270
98391,77271
98391,77272
98391,77273
98391,77274
98391,77275
98391,77276
98391,77277
98391,77278
98391,77279
98391,77280
98391,77281
98391,77282
98391,77283
98391,77284
98391,77285
98391,77286
98391,77287
98391,77288
98391,77289
98391,77290
98391,77291
98391,77292
98391,77293
98391,77294
98391,77295
98391,77296
98391,77297
98391,77298
98391,77299
98391,77300
98391,77301
98391,77302
98391,77303
98391,77304
98391,77305
98391,77306
98391,77307
98391,77308
98391,77309
98391,77310
98391,77311
98391,77312
98391,77313
98391,77314
98391,77315
98391,77316
98391,77317
98391,77318
98391,77319
98391,77320
98391,77321
98391,77322
98392,77237
98392,77238
98392,77239
98392,77240
98392,77241
98392,77242
98392,77243
98392,77244
98392,77245
98392,77246
98392,77247
98392,77248
98392,77249
98392,77250
98392,77251
98392,77252
98392,77253
98392,77254
98392,77255
98392,77256
98392,77257
98392,77258
98392,77259
98392,77260
98392,77261
98392,77262
98392,77263
98392,77264
98392,77265
98392,77266
98392,77267
98392,77268
98392,77269
98392,77270
98392,77271
98392,77272
98392,77273
98392,77274
98392,77275
98392,77276
98392,77277
98392,77278
98392,77279
98392,77280
98392,77281
98392,77282
98392,77283
98392,77284
98392,77285
98392,77286
98392,77287
98392,77288
98392,77289
98392,77290
98392,77291
98392,77292
98392,77293
98392,77294
98392,77295
98392,77296
98392,77297
98392,77298
98392,77299
98392,77300
98392,77301
98392,77302
98392,77303
98392,77304
98392,77305
98392,77306
98392,77307
98392,77308
98392,77309
98392,77310
98392,77311
98392,77312
98392,77313
98392,77314
98392,77315
98392,77316
98392,77317
98392,77318
98392,77319
98392,77320
98392,77321
98392,77322
98392,77323
98392,77324
98392,77325
98393,77236
98393,77237
98393,77238
98393,77239
98393,77240
98393,77241
98393,77242
98393,77243
98393,77244
98393,77245
98393,77246
98393,77247
98393,77248
98393,77249
98393,77250
98393,77251
98393,77252
98393,77253
98393,77254
98393,77255
98393,77256
98393,77257
98393,77258
98393,77259
98393,77260
98393,77261
98393,77262
98393,77263
98393,77264
98393,77265
98393,77266
98393,77267
98393,77268
98393,77269
98393,77270
98393,77271
98393,77272
98393,77273
98393,77274
98393,77275
98393,77276
98393,77277
98393,77278
98393,77279
98393,77280
98393,77281
98393,77282
98393,77283
98393,77284
98393,77285
98393,77286
98393,77287
98393,77288
98393,77289
98393,77290
98393,77291
98393,77292
98393,77293
98393,77294
98393,77295
98393,77296
98393,77297
98393,77298
98393,77299
98393,77300
98393,77301
98393,77302
98393,77303
98393,77304
98393,77305
98393,77306
98393,77307
98393,77308
98393,77309
98393,77310
98393,77311
98393,77312
98393,77313
98393,77314
98393,77315
98393,77316
98393,77317
98393,77318
98393,77319
98393,77320
98393,77321
98393,77322
98393,77323
98393,77324
98393,77325
98393,77326
98393,77327
98393,77328
98394,77236
98394,77237
98394,77238
98394,77239
98394,77240
98394,77241
98394,77242
98394,77243
98394,77244
98394,77245
98394,77246
98394,77247
98394,77248
98394,77249
98394,77250
98394,77251
98394,77252
98394,77253
98394,77254
98394,77255
98394,77256
98394,77257
98394,77258
98394,77259
98394,77260
98394,77261
98394,77262
98394,77263
98394,77264
98394,77265
98394,77266
98394,77267
98394,77268
98394,77269
98394,77270
98394,77271
98394,77272
98394,77273
98394,77274
98394,77275
98394,77276
98394,77277
98394,77278
98394,77279
98394,77280
98394,77281
98394,77282
98394,77283
98394,77284
98394,77285
98394,77286
98394,77287
98394,77288
98394,77289
98394,77290
98394,77291
98394,77292
98394,77293
98394,77294
98394,77295
98394,77296
98394,77297
98394,77298
98394,77299
98394,77300
98394,77301
98394,77302
98394,77303
98394,77304
98394,77305
98394,77306
98394,77307
98394,77308
98394,77309
98394,77310
98394,77311
98394,77312
98394,77313
98394,77314
98394,77315
98394,77316
98394,77317
98394,77318
98394,77319
98394,77320
98394,77321
98394,77322
98394,77323
98394,77324
98394,77325
98394,77326
98394,77327
98394,77328
98394,77329
98394,77330
98394,77331
98395,77236
98395,77237
98395,77238
98395,77239
98395,77240
98395,77241
98395,77242
98395,77243
98395,77244
98395,77245
98395,77246
98395,77247
98395,77248
98395,77249
98395,77250
98395,77251
98395,77252
98395,77253
98395,77254
98395,77255
98395,77256
98395,77257
98395,77258
98395,77259
98395,77260
98395,77261
98395,77262
98395,77263
98395,77264
98395,77265
98395,77266
98395,77267
98395,77268
98395,77269
98395,77270
98395,77271
98395,77272
98395,77273
98395,77274
98395,77275
98395,77276
98395,77277
98395,77278
98395,77279
98395,77280
98395,77281
98395,77282
98395,77283
98395,77284
98395,77285
98395,77286
98395,77287
98395,77288
98395,77289
98395,77290
98395,77291
98395,77292
98395,77293
98395,77294
98395,77295
98395,77296
98395,77297
98395,77298
98395,77299
98395,77300
98395,77301
98395,77302
98395,77303
98395,77304
98395,77305
98395,77306
98395,77307
98395,77308
98395,77309
98395,77310
98395,77311
98395,77312
98395,77313
98395,77314
98395,77315
98395,77316
98395,77317
98395,77318
98395,77319
98395,77320
98395,77321
98395,77322
98395,77323
