y_tile,x_tile
108379,59256
108379,59257
108380,59256
108380,59257
108381,59256
108381,59257
108382,59256
108382,59257
108383,59256
108383,59257
108384,59256
108384,59257
108384,59258
108385,59256
108385,59257
108385,59258
108386,59256
108386,59257
108386,59258
108387,59256
108387,59257
108387,59258
108388,59256
108388,59257
108388,59258
108389,59256
108389,59257
108389,59258
108390,59256
108390,59257
108390,59258
108390,59383
108390,59384
108390,59385
108390,59386
108390,59387
108391,59255
108391,59256
108391,59257
108391,59258
108391,59383
108391,59384
108391,59385
108391,59386
108391,59387
108392,59254
108392,59255
108392,59256
108392,59257
108392,59258
108392,59383
108392,59384
108392,59385
108392,59386
108392,59387
108392,59388
108393,59254
108393,59255
108393,59256
108393,59257
108393,59383
108393,59384
108393,59385
108393,59386
108393,59387
108393,59388
108394,59253
108394,59254
108394,59255
108394,59256
108394,59383
108394,59384
108394,59385
108394,59386
108395,59253
108395,59254
108395,59255
108395,59256
108395,59382
108395,59383
108395,59384
108395,59385
108395,59386
108396,59253
108396,59254
108396,59255
108396,59382
108396,59383
108396,59384
108396,59385
108397,59253
108397,59254
108397,59255
108397,59382
108397,59383
108397,59384
108397,59385
108398,59252
108398,59253
108398,59254
108398,59255
108398,59382
108398,59383
108398,59384
108398,59385
108399,59252
108399,59253
108399,59254
108399,59255
108399,59382
108399,59383
108399,59384
108399,59385
108400,59251
108400,59252
108400,59253
108400,59254
108400,59382
108400,59383
108400,59384
108400,59385
108401,59251
108401,59252
108401,59253
108401,59254
108401,59380
108401,59381
108401,59382
108401,59383
108401,59384
108401,59385
108402,59251
108402,59252
108402,59253
108402,59379
108402,59380
108402,59381
108402,59382
108402,59383
108402,59384
108402,59385
108403,59251
108403,59252
108403,59253
108403,59379
108403,59380
108403,59381
108403,59382
108403,59383
108403,59384
108404,59250
108404,59251
108404,59252
108404,59253
108404,59379
108404,59380
108404,59381
108404,59382
108404,59383
108404,59384
108405,59250
108405,59251
108405,59252
108405,59253
108405,59379
108405,59380
108405,59381
108405,59382
108405,59383
108405,59384
108406,59250
108406,59251
108406,59252
108406,59379
108406,59380
108406,59381
108406,59382
108406,59383
108406,59384
108407,59250
108407,59251
108407,59252
108407,59379
108407,59380
108407,59381
108407,59382
108407,59383
108407,59384
108408,59250
108408,59251
108408,59252
108408,59379
108408,59380
108408,59381
108408,59382
108408,59383
108408,59384
108409,59250
108409,59251
108409,59252
108409,59378
108409,59379
108409,59380
108409,59381
108409,59382
108409,59383
108409,59384
108410,59250
108410,59251
108410,59252
108410,59378
108410,59379
108410,59380
108410,59381
108410,59382
108410,59383
108410,59384
108410,59385
108411,59250
108411,59251
108411,59252
108411,59379
108411,59380
108411,59381
108411,59382
108411,59383
108411,59384
108411,59385
108412,59250
108412,59251
108412,59252
108412,59379
108412,59380
108412,59381
108412,59382
108412,59383
108412,59384
108412,59385
108413,59250
108413,59251
108413,59252
108413,59253
108413,59379
108413,59380
108413,59381
108413,59382
108413,59383
108413,59384
108414,59250
108414,59251
108414,59252
108414,59253
108414,59379
108414,59380
108414,59381
108414,59382
108414,59383
108414,59384
108415,59250
108415,59251
108415,59252
108415,59379
108415,59380
108415,59381
108415,59382
108415,59383
108415,59384
108415,59385
108416,59250
108416,59251
108416,59252
108416,59379
108416,59380
108416,59381
108416,59382
108416,59383
108416,59384
108416,59385
108417,59250
108417,59251
108417,59252
108417,59253
108417,59379
108417,59380
108417,59381
108417,59382
108417,59383
108418,59250
108418,59251
108418,59252
108418,59253
108418,59379
108418,59380
108418,59381
108418,59382
108418,59383
108419,59250
108419,59251
108419,59252
108419,59253
108419,59378
108419,59379
108419,59380
108419,59381
108419,59382
108419,59383
108420,59250
108420,59251
108420,59252
108420,59253
108420,59378
108420,59379
108420,59380
108420,59381
108420,59382
108420,59383
108420,59384
108421,59250
108421,59251
108421,59252
108421,59253
108421,59377
108421,59378
108421,59379
108421,59380
108421,59381
108421,59382
108421,59383
108421,59384
108421,59385
108422,59250
108422,59251
108422,59252
108422,59253
108422,59377
108422,59378
108422,59379
108422,59380
108422,59381
108422,59382
108422,59383
108422,59384
108422,59385
108423,59250
108423,59251
108423,59252
108423,59253
108423,59254
108423,59255
108423,59256
108423,59257
108423,59258
108423,59259
108423,59260
108423,59261
108423,59262
108423,59263
108423,59264
108423,59377
108423,59378
108423,59379
108423,59380
108423,59381
108423,59382
108423,59383
108423,59384
108423,59385
108424,59250
108424,59251
108424,59252
108424,59253
108424,59254
108424,59255
108424,59256
108424,59257
108424,59258
108424,59259
108424,59260
108424,59261
108424,59262
108424,59263
108424,59264
108424,59352
108424,59377
108424,59378
108424,59379
108424,59380
108424,59381
108424,59382
108424,59383
108424,59384
108424,59385
108424,59386
108425,59241
108425,59242
108425,59243
108425,59244
108425,59245
108425,59246
108425,59250
108425,59251
108425,59252
108425,59253
108425,59254
108425,59255
108425,59256
108425,59257
108425,59258
108425,59259
108425,59260
108425,59261
108425,59262
108425,59263
108425,59264
108425,59350
108425,59351
108425,59352
108425,59377
108425,59378
108425,59379
108425,59380
108425,59381
108425,59382
108425,59383
108425,59384
108425,59385
108425,59386
108426,59241
108426,59242
108426,59243
108426,59244
108426,59245
108426,59246
108426,59247
108426,59254
108426,59255
108426,59256
108426,59257
108426,59258
108426,59259
108426,59260
108426,59261
108426,59262
108426,59263
108426,59264
108426,59348
108426,59349
108426,59350
108426,59351
108426,59352
108426,59377
108426,59378
108426,59379
108426,59380
108426,59381
108426,59382
108426,59383
108426,59384
108426,59385
108426,59386
108426,59387
108427,59241
108427,59242
108427,59243
108427,59244
108427,59245
108427,59246
108427,59247
108427,59253
108427,59254
108427,59255
108427,59256
108427,59257
108427,59258
108427,59259
108427,59260
108427,59261
108427,59262
108427,59263
108427,59264
108427,59347
108427,59348
108427,59349
108427,59350
108427,59351
108427,59352
108427,59379
108427,59380
108427,59381
108427,59382
108427,59383
108428,59241
108428,59242
108428,59243
108428,59244
108428,59245
108428,59246
108428,59247
108428,59248
108428,59252
108428,59253
108428,59254
108428,59255
108428,59256
108428,59257
108428,59258
108428,59259
108428,59260
108428,59261
108428,59262
108428,59263
108428,59264
108428,59345
108428,59346
108428,59347
108428,59348
108428,59349
108428,59350
108428,59351
108428,59352
108428,59379
108428,59380
108428,59381
108428,59382
108428,59383
108429,59241
108429,59242
108429,59243
108429,59244
108429,59245
108429,59246
108429,59247
108429,59248
108429,59252
108429,59253
108429,59254
108429,59255
108429,59256
108429,59257
108429,59258
108429,59259
108429,59260
108429,59261
108429,59262
108429,59263
108429,59264
108429,59343
108429,59344
108429,59345
108429,59346
108429,59347
108429,59348
108429,59349
108429,59350
108429,59351
108429,59352
108429,59380
108429,59381
108429,59382
108429,59383
108429,59384
108430,59241
108430,59242
108430,59243
108430,59244
108430,59245
108430,59246
108430,59247
108430,59248
108430,59249
108430,59251
108430,59252
108430,59253
108430,59254
108430,59255
108430,59256
108430,59257
108430,59258
108430,59259
108430,59260
108430,59261
108430,59262
108430,59263
108430,59264
108430,59265
108430,59266
108430,59267
108430,59268
108430,59269
108430,59341
108430,59342
108430,59343
108430,59344
108430,59345
108430,59346
108430,59347
108430,59348
108430,59349
108430,59350
108430,59351
108430,59352
108430,59380
108430,59381
108430,59382
108430,59383
108430,59384
108431,59241
108431,59242
108431,59243
108431,59244
108431,59245
108431,59246
108431,59247
108431,59248
108431,59249
108431,59250
108431,59251
108431,59252
108431,59253
108431,59254
108431,59255
108431,59256
108431,59257
108431,59258
108431,59259
108431,59260
108431,59261
108431,59262
108431,59263
108431,59264
108431,59265
108431,59266
108431,59267
108431,59268
108431,59269
108431,59340
108431,59341
108431,59342
108431,59343
108431,59344
108431,59345
108431,59346
108431,59347
108431,59348
108431,59349
